日付,場コード,レース番号,買い目
20260719,01,10,1-2-3
20260719,01,10,1-2-4
20260719,01,10,1-2-5
20260719,01,10,1-3-2
20260719,01,10,1-3-4
20260719,01,10,1-4-2
20260719,01,10,1-4-3
20260719,01,3,1-2-3
20260719,01,3,1-2-4
20260719,01,3,1-2-6
20260719,01,3,1-4-2
20260719,01,3,2-1-4
20260719,01,5,1-3-4
20260719,01,5,1-4-2
20260719,01,5,1-4-3
20260719,01,5,1-4-5
20260719,01,5,1-4-6
20260719,01,6,1-2-3
20260719,01,6,1-2-4
20260719,01,6,1-2-5
20260719,01,6,1-3-2
20260719,01,6,1-3-4
20260719,01,6,1-3-5
20260719,01,6,1-4-2
20260719,01,6,1-4-3
20260719,01,7,1-2-3
20260719,01,7,1-3-2
20260719,01,7,1-3-4
20260719,01,7,1-3-5
20260719,01,7,1-4-3
20260719,01,8,1-2-3
20260719,01,8,1-2-5
20260719,01,8,1-3-5
20260719,01,8,1-5-2
20260719,01,8,1-5-3
20260719,02,7,1-2-3
20260719,02,7,1-2-4
20260719,02,7,1-2-5
20260719,02,7,1-3-2
20260719,02,7,1-3-4
20260719,02,7,1-4-2
20260719,02,7,1-4-3
20260719,04,2,1-2-3
20260719,04,2,1-2-5
20260719,04,2,1-3-2
20260719,04,2,1-5-2
20260719,08,1,1-2-4
20260719,08,1,1-2-5
20260719,08,1,1-4-2
20260719,08,1,1-5-2
20260719,08,3,1-2-3
20260719,08,3,1-2-4
20260719,08,3,1-3-2
20260719,08,3,1-4-2
20260719,08,3,1-4-3
20260719,08,5,1-2-4
20260719,08,5,1-3-4
20260719,08,5,1-4-2
20260719,08,5,1-4-3
20260719,08,6,1-2-3
20260719,08,6,1-2-4
20260719,08,6,1-2-6
20260719,08,6,1-4-2
20260719,08,9,1-2-3
20260719,08,9,1-2-5
20260719,08,9,1-3-2
20260719,08,9,1-3-5
20260719,08,9,1-5-3
20260719,10,1,1-2-3
20260719,10,1,1-3-2
20260719,10,5,1-2-3
20260719,10,5,1-3-2
20260719,10,5,1-3-4
20260719,10,5,1-3-5
20260719,10,5,1-5-3
20260719,11,1,1-2-3
20260719,11,1,1-2-4
20260719,11,1,1-3-2
20260719,11,1,1-4-2
20260719,11,10,1-2-4
20260719,11,10,1-3-4
20260719,11,10,1-4-2
20260719,11,10,1-4-3
20260719,11,10,4-1-2
20260719,11,11,1-2-3
20260719,11,11,1-2-4
20260719,11,11,1-3-2
20260719,11,11,1-3-4
20260719,11,11,1-4-3
20260719,11,3,1-2-3
20260719,11,3,1-2-4
20260719,11,3,1-3-2
20260719,11,3,1-4-2
20260719,11,3,1-4-3
20260719,11,5,1-2-3
20260719,11,5,1-2-4
20260719,11,5,1-2-5
20260719,11,5,1-3-2
20260719,11,5,1-4-2
20260719,11,9,1-2-3
20260719,11,9,1-2-4
20260719,11,9,1-2-5
20260719,11,9,1-4-2
20260719,11,9,1-5-2
20260719,12,1,1-2-3
20260719,12,1,1-2-4
20260719,12,1,1-3-2
20260719,12,1,1-3-4
20260719,12,1,1-4-2
20260719,12,12,1-2-3
20260719,12,12,1-2-6
20260719,12,12,1-3-2
20260719,12,12,1-3-6
20260719,12,12,1-6-2
20260719,12,2,1-2-4
20260719,12,2,1-4-2
20260719,12,2,1-4-5
20260719,12,2,1-5-2
20260719,12,2,1-5-4
20260719,12,3,1-2-3
20260719,12,3,1-2-4
20260719,12,3,1-2-6
20260719,12,3,1-4-2
20260719,12,3,2-1-4
20260719,12,4,1-2-3
20260719,12,4,1-2-4
20260719,12,4,1-2-5
20260719,12,4,1-2-6
20260719,12,4,1-3-2
20260719,12,4,1-4-2
20260719,12,4,1-5-2
20260719,12,5,1-2-3
20260719,12,5,1-2-5
20260719,12,5,1-2-6
20260719,12,5,1-5-2
20260719,12,5,1-6-2
20260719,12,6,1-2-4
20260719,12,6,1-3-4
20260719,12,6,1-4-2
20260719,12,6,1-4-3
20260719,12,6,4-1-2
20260719,12,7,1-2-3
20260719,12,7,1-2-4
20260719,12,7,1-2-6
20260719,12,7,1-3-2
20260719,12,7,1-6-2
20260719,17,2,1-2-3
20260719,17,2,1-3-2
20260719,17,2,1-3-4
20260719,17,2,1-3-5
20260719,17,2,1-4-3
20260719,17,3,1-2-3
20260719,17,3,1-2-4
20260719,17,3,1-3-2
20260719,17,3,1-4-2
20260719,17,5,1-2-3
20260719,17,5,1-2-6
20260719,17,5,1-3-2
20260719,17,5,1-3-6
20260719,17,5,2-1-3
20260719,17,7,1-2-4
20260719,17,7,1-3-2
20260719,17,7,1-3-4
20260719,17,7,1-4-2
20260719,17,7,1-4-3
20260719,17,8,1-2-3
20260719,17,8,1-2-4
20260719,17,8,1-3-2
20260719,17,8,1-3-4
20260719,18,1,1-2-3
20260719,18,1,1-3-2
20260719,18,1,1-3-4
20260719,18,1,1-3-5
20260719,18,1,1-5-3
20260719,18,10,1-2-3
20260719,18,10,1-2-5
20260719,18,10,1-3-2
20260719,18,10,1-5-2
20260719,18,10,2-1-5
20260719,18,11,1-2-3
20260719,18,11,1-2-4
20260719,18,11,1-3-2
20260719,18,11,1-4-2
20260719,18,11,2-1-3
20260719,18,12,1-2-3
20260719,18,12,1-2-4
20260719,18,12,1-2-5
20260719,18,12,1-3-2
20260719,18,12,1-4-2
20260719,18,3,1-2-3
20260719,18,3,1-3-2
20260719,18,3,1-3-4
20260719,18,3,1-3-6
20260719,18,3,1-4-3
20260719,18,4,1-2-3
20260719,18,4,1-2-4
20260719,18,4,1-2-5
20260719,18,4,1-4-2
20260719,18,4,1-5-2
20260719,18,5,1-3-2
20260719,18,5,1-3-4
20260719,18,5,1-3-6
20260719,18,5,1-4-3
20260719,18,5,1-6-3
20260719,19,1,1-2-3
20260719,19,1,1-2-4
20260719,19,1,1-3-2
20260719,19,1,1-3-4
20260719,19,10,1-2-3
20260719,19,10,1-2-4
20260719,19,10,1-2-5
20260719,19,10,1-5-2
20260719,19,10,2-1-5
20260719,19,5,1-2-3
20260719,19,5,1-3-2
20260719,19,5,1-3-4
20260719,19,5,1-4-3
20260719,19,5,3-1-4
20260719,19,8,1-3-4
20260719,19,8,1-4-2
20260719,19,8,1-4-3
20260719,19,9,1-2-3
20260719,19,9,1-2-5
20260719,19,9,1-3-2
20260719,19,9,1-3-5
20260719,19,9,3-1-2
20260719,20,1,1-2-3
20260719,20,1,1-3-2
20260719,20,1,1-3-4
20260719,20,1,1-3-6
20260719,20,1,1-4-3
20260719,20,12,1-2-3
20260719,20,12,1-2-4
20260719,20,12,1-3-2
20260719,20,12,1-4-2
20260719,20,12,2-1-3
20260719,20,4,1-2-3
20260719,20,4,1-2-5
20260719,20,4,1-2-6
20260719,20,4,1-3-2
20260719,20,4,2-1-3
20260719,20,7,1-2-3
20260719,20,7,1-3-2
20260719,20,7,1-3-6
20260719,20,7,1-6-3
20260719,20,7,3-1-2
20260719,21,1,1-2-3
20260719,21,1,1-2-4
20260719,21,1,1-2-5
20260719,21,1,1-3-2
20260719,21,1,1-4-2
20260719,21,2,1-2-3
20260719,21,2,1-2-4
20260719,21,2,1-2-5
20260719,21,2,1-3-2
20260719,21,2,1-4-2
20260719,21,4,1-2-3
20260719,21,4,1-2-4
20260719,21,4,1-3-2
20260719,21,4,1-3-4
20260719,21,4,1-4-3
20260719,21,5,1-2-3
20260719,21,5,1-3-2
20260719,21,5,1-3-5
20260719,21,5,1-3-6
20260719,21,5,3-1-2
20260719,21,7,1-2-3
20260719,21,7,1-3-2
20260719,21,7,1-3-4
20260719,21,7,1-3-5
20260719,21,7,1-4-3
20260720,04,2,1-2-3
20260720,04,2,1-2-4
20260720,04,2,1-2-5
20260720,04,2,1-3-2
20260720,04,2,1-3-4
20260720,04,2,1-4-2
20260720,04,2,1-4-3
20260720,05,10,1-2-4
20260720,05,10,1-2-5
20260720,05,10,1-4-2
20260720,05,10,1-4-5
20260720,05,10,1-5-4
20260720,05,11,1-2-3
20260720,05,11,1-3-2
20260720,05,11,1-3-5
20260720,05,11,1-5-3
20260720,05,12,1-2-3
20260720,05,12,1-2-4
20260720,05,12,1-2-5
20260720,05,12,1-4-2
20260720,10,1,1-2-3
20260720,10,1,1-2-4
20260720,10,1,1-3-2
20260720,10,1,1-4-2
20260720,10,1,1-4-3
20260720,10,5,1-2-4
20260720,10,5,1-3-4
20260720,10,5,1-4-2
20260720,10,5,1-4-3
20260720,10,5,1-4-5
20260720,11,10,1-2-3
20260720,11,10,1-2-4
20260720,11,10,1-2-5
20260720,11,10,1-3-2
20260720,11,10,2-1-3
20260720,11,3,1-2-4
20260720,11,3,1-2-5
20260720,11,3,1-4-2
20260720,11,3,1-4-5
20260720,11,3,1-5-2
20260720,11,3,1-5-3
20260720,11,3,1-5-4
20260720,11,9,1-2-3
20260720,11,9,1-3-2
20260720,11,9,1-3-4
20260720,11,9,1-4-2
20260720,11,9,1-4-3
20260720,12,1,1-2-3
20260720,12,1,1-2-4
20260720,12,1,1-3-2
20260720,12,1,2-1-3
20260720,12,1,3-1-2
20260720,12,12,1-2-3
20260720,12,12,1-2-4
20260720,12,12,1-2-5
20260720,12,12,1-2-6
20260720,12,12,1-3-2
