race_date,stadium_number,race_number,rank,predicted_probability,bet_type,combination,amount,estimated_probability,hit,payout_per_100,return
2025-05-02,1,6,S,0.7065,2連単,1-2,1200,0.2819,0,,0
2025-05-02,1,6,S,0.7065,2連単,1-4,900,0.2229,0,,0
2025-05-02,1,6,S,0.7065,2連単,1-3,500,0.109,0,,0
2025-05-02,1,6,S,0.7065,2連単,2-1,400,0.0937,0,,0
2025-05-02,1,6,S,0.7065,3連単,1-2-4,900,0.148,0,,0
2025-05-02,1,6,S,0.7065,3連単,1-4-2,700,0.1299,0,,0
2025-05-02,1,6,S,0.7065,3連単,1-2-3,400,0.0724,0,,0
2025-05-02,2,7,SS,0.8489,2連単,1-2,1400,0.2994,0,,0
2025-05-02,2,7,SS,0.8489,2連単,1-3,1200,0.268,0,,0
2025-05-02,2,7,SS,0.8489,3連単,1-2-3,1200,0.146,0,,0
2025-05-02,2,7,SS,0.8489,3連単,1-3-2,1200,0.1381,0,,0
2025-05-02,11,1,S,0.7747,2連単,1-2,2500,0.5911,1,170,4250
2025-05-02,11,1,S,0.7747,2連単,2-1,700,0.1608,0,,0
2025-05-02,11,1,S,0.7747,2連単,1-4,500,0.1076,0,,0
2025-05-02,11,1,S,0.7747,2連単,1-3,100,0.0334,0,,0
2025-05-02,11,1,S,0.7747,3連単,1-2-4,900,0.3465,0,,0
2025-05-02,11,1,S,0.7747,3連単,1-2-3,300,0.1074,1,400,1200
2025-05-02,12,5,S,0.7074,2連単,1-5,500,0.1748,0,,0
2025-05-02,12,5,S,0.7074,2連単,1-6,500,0.1736,0,,0
2025-05-02,12,5,S,0.7074,2連単,1-3,400,0.1591,1,1290,5160
2025-05-02,12,5,S,0.7074,2連単,1-2,400,0.1475,0,,0
2025-05-02,12,5,S,0.7074,2連単,5-1,100,0.0551,0,,0
2025-05-02,12,5,S,0.7074,2連単,6-1,100,0.0547,0,,0
2025-05-02,12,5,S,0.7074,3連単,1-5-6,400,0.057,0,,0
2025-05-02,12,5,S,0.7074,3連単,1-6-5,400,0.0568,0,,0
2025-05-02,12,5,S,0.7074,3連単,1-5-3,400,0.0522,0,,0
