race_date,venue_code,race_number,boat_number,probability,is_top1
2025-05-02,1,6,1,0.7065,1
2025-05-02,1,6,2,0.1171,0
2025-05-02,1,6,4,0.0926,0
2025-05-02,1,6,3,0.0453,0
2025-05-02,1,6,6,0.0254,0
2025-05-02,1,6,5,0.0132,0
2025-05-02,2,7,1,0.8489,1
2025-05-02,2,7,2,0.0533,0
2025-05-02,2,7,3,0.0477,0
2025-05-02,2,7,5,0.0247,0
2025-05-02,2,7,6,0.0186,0
2025-05-02,2,7,4,0.0068,0
2025-05-02,11,1,1,0.7747,1
2025-05-02,11,1,2,0.1719,0
2025-05-02,11,1,4,0.0313,0
2025-05-02,11,1,3,0.0097,0
2025-05-02,11,1,6,0.0068,0
2025-05-02,11,1,5,0.0057,0
2025-05-02,12,5,1,0.7074,1
2025-05-02,12,5,5,0.0723,0
2025-05-02,12,5,6,0.0718,0
2025-05-02,12,5,3,0.0658,0
2025-05-02,12,5,2,0.061,0
2025-05-02,12,5,4,0.0216,0
2025-05-02,17,1,1,0.787,1
2025-05-02,17,1,3,0.0884,0
2025-05-02,17,1,4,0.0619,0
2025-05-02,17,1,2,0.0383,0
2025-05-02,17,1,6,0.0169,0
2025-05-02,17,1,5,0.0074,0
2025-05-02,21,7,1,0.7918,1
2025-05-02,21,7,3,0.0686,0
2025-05-02,21,7,2,0.0681,0
2025-05-02,21,7,4,0.0548,0
2025-05-02,21,7,5,0.0121,0
2025-05-02,21,7,6,0.0046,0
2025-05-02,23,1,1,0.8035,1
2025-05-02,23,1,3,0.1052,0
2025-05-02,23,1,5,0.0352,0
2025-05-02,23,1,4,0.0234,0
2025-05-02,23,1,6,0.0165,0
2025-05-02,23,1,2,0.0161,0
2025-05-03,1,6,1,0.7973,1
2025-05-03,1,6,3,0.0935,0
2025-05-03,1,6,2,0.0641,0
2025-05-03,1,6,6,0.028,0
2025-05-03,1,6,5,0.013,0
2025-05-03,1,6,4,0.0041,0
2025-05-03,2,7,1,0.7657,1
2025-05-03,2,7,3,0.0766,0
2025-05-03,2,7,2,0.064,0
2025-05-03,2,7,4,0.0616,0
2025-05-03,2,7,5,0.0304,0
2025-05-03,2,7,6,0.0018,0
2025-05-03,4,2,1,0.7783,1
2025-05-03,4,2,4,0.0747,0
2025-05-03,4,2,5,0.0639,0
2025-05-03,4,2,6,0.0356,0
2025-05-03,4,2,2,0.0303,0
2025-05-03,4,2,3,0.0173,0
2025-05-03,6,4,1,0.7006,1
2025-05-03,6,4,5,0.1522,0
2025-05-03,6,4,3,0.0738,0
2025-05-03,6,4,4,0.048,0
2025-05-03,6,4,2,0.024,0
2025-05-03,6,4,6,0.0013,0
2025-05-03,9,1,1,0.7079,1
2025-05-03,9,1,2,0.0874,0
2025-05-03,9,1,3,0.0794,0
2025-05-03,9,1,4,0.0723,0
2025-05-03,9,1,5,0.038,0
2025-05-03,9,1,6,0.0151,0
2025-05-03,10,1,1,0.8291,1
2025-05-03,10,1,2,0.0624,0
2025-05-03,10,1,3,0.054,0
2025-05-03,10,1,5,0.0274,0
2025-05-03,10,1,6,0.0174,0
2025-05-03,10,1,4,0.0097,0
2025-05-03,17,4,1,0.7889,1
2025-05-03,17,4,4,0.0637,0
2025-05-03,17,4,5,0.0441,0
2025-05-03,17,4,3,0.0427,0
2025-05-03,17,4,2,0.0424,0
2025-05-03,17,4,6,0.0183,0
2025-05-03,21,1,1,0.7194,1
2025-05-03,21,1,3,0.1368,0
2025-05-03,21,1,5,0.0754,0
2025-05-03,21,1,2,0.0541,0
2025-05-03,21,1,4,0.0135,0
2025-05-03,21,1,6,0.0009,0
2025-05-03,22,1,1,0.7785,1
2025-05-03,22,1,2,0.1026,0
2025-05-03,22,1,3,0.0815,0
2025-05-03,22,1,4,0.0287,0
2025-05-03,22,1,5,0.0077,0
2025-05-03,22,1,6,0.001,0
2025-05-03,23,2,1,0.705,1
2025-05-03,23,2,3,0.1509,0
2025-05-03,23,2,4,0.0648,0
2025-05-03,23,2,2,0.0474,0
2025-05-03,23,2,5,0.03,0
2025-05-03,23,2,6,0.0019,0
2025-05-04,2,7,1,0.7993,1
2025-05-04,2,7,2,0.0801,0
2025-05-04,2,7,4,0.065,0
2025-05-04,2,7,3,0.0505,0
2025-05-04,2,7,5,0.0043,0
2025-05-04,2,7,6,0.0009,0
2025-05-04,7,1,1,0.7434,1
2025-05-04,7,1,2,0.1047,0
2025-05-04,7,1,4,0.0756,0
2025-05-04,7,1,5,0.04,0
2025-05-04,7,1,3,0.0306,0
2025-05-04,7,1,6,0.0058,0
2025-05-04,10,3,1,0.7194,1
2025-05-04,10,3,3,0.1383,0
2025-05-04,10,3,2,0.0669,0
2025-05-04,10,3,5,0.0346,0
2025-05-04,10,3,4,0.0267,0
2025-05-04,10,3,6,0.0141,0
2025-05-04,17,2,1,0.7356,1
2025-05-04,17,2,3,0.0915,0
2025-05-04,17,2,4,0.0791,0
2025-05-04,17,2,2,0.0546,0
2025-05-04,17,2,5,0.0365,0
2025-05-04,17,2,6,0.0027,0
2025-05-04,22,1,1,0.7871,1
2025-05-04,22,1,3,0.0766,0
2025-05-04,22,1,2,0.0735,0
2025-05-04,22,1,5,0.0364,0
2025-05-04,22,1,4,0.0254,0
2025-05-04,22,1,6,0.001,0
2025-05-04,23,1,1,0.7073,1
2025-05-04,23,1,3,0.1057,0
2025-05-04,23,1,2,0.0952,0
2025-05-04,23,1,4,0.0519,0
2025-05-04,23,1,6,0.0333,0
2025-05-04,23,1,5,0.0066,0
2025-05-05,2,7,1,0.7432,1
2025-05-05,2,7,3,0.1155,0
2025-05-05,2,7,4,0.0772,0
2025-05-05,2,7,2,0.0597,0
2025-05-05,2,7,5,0.0032,0
2025-05-05,2,7,6,0.0012,0
2025-05-05,4,2,1,0.7077,1
2025-05-05,4,2,2,0.1015,0
2025-05-05,4,2,4,0.0686,0
2025-05-05,4,2,5,0.0605,0
2025-05-05,4,2,6,0.031,0
2025-05-05,4,2,3,0.0307,0
2025-05-05,6,8,1,0.7442,1
2025-05-05,6,8,4,0.1655,0
2025-05-05,6,8,3,0.0436,0
2025-05-05,6,8,2,0.0407,0
2025-05-05,6,8,5,0.0041,0
2025-05-05,6,8,6,0.002,0
2025-05-05,14,1,1,0.7831,1
2025-05-05,14,1,2,0.0639,0
2025-05-05,14,1,3,0.0571,0
2025-05-05,14,1,4,0.0443,0
2025-05-05,14,1,5,0.0351,0
2025-05-05,14,1,6,0.0165,0
2025-05-05,17,6,1,0.7262,1
2025-05-05,17,6,4,0.1082,0
2025-05-05,17,6,3,0.0776,0
2025-05-05,17,6,2,0.0621,0
2025-05-05,17,6,5,0.0231,0
2025-05-05,17,6,6,0.003,0
2025-05-05,17,7,1,0.7258,1
2025-05-05,17,7,3,0.0921,0
2025-05-05,17,7,4,0.0917,0
2025-05-05,17,7,2,0.0657,0
2025-05-05,17,7,6,0.0201,0
