race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2026-06-16,1,1,1,10,1,2,23,18,1,1,0.14,6.77,53.8,0,-0.5
2026-06-16,1,1,1,10,1,2,23,18,2,2,0.15,6.7,52,0,-0.5
2026-06-16,1,1,1,10,1,2,23,18,3,3,0.38,6.68,45.5,1.5,-0.5
2026-06-16,1,1,1,10,1,2,23,18,4,4,0.15,6.56,46,1,0
2026-06-16,1,1,1,10,1,2,23,18,5,5,0.11,6.61,53.3,0,-0.5
2026-06-16,1,1,1,10,1,2,23,18,6,6,0.17,6.55,51.5,0.5,0
2026-06-16,1,2,5,12,4,1,25,18,1,1,0.13,6.6,52.1,0,0
2026-06-16,1,2,5,12,4,1,25,18,2,2,0.13,6.66,52.2,0,0
2026-06-16,1,2,5,12,4,1,25,18,3,3,0.17,6.62,47.4,0,0
2026-06-16,1,2,5,12,4,1,25,18,4,4,0.04,6.69,52.2,0,-0.5
2026-06-16,1,2,5,12,4,1,25,18,5,5,0.05,6.69,51,1,0
2026-06-16,1,2,5,12,4,1,25,18,6,6,0.09,6.84,52.7,0,0
2026-06-16,1,3,5,10,4,1,25,18,1,1,0.09,6.65,52.5,0,-0.5
2026-06-16,1,3,5,10,4,1,25,18,2,2,0.04,6.62,52,0,-0.5
2026-06-16,1,3,5,10,4,1,25,18,3,3,0.14,6.81,53.1,0,0
2026-06-16,1,3,5,10,4,1,25,18,4,4,0.2,6.84,58.8,0,0
2026-06-16,1,3,5,10,4,1,25,18,5,5,0.18,6.63,52,0,-0.5
2026-06-16,1,3,5,10,4,1,25,18,6,6,0.2,6.78,44.5,2.5,0
2026-06-16,1,4,3,10,2,1,25,18,1,1,-0.08,6.55,52,0,-0.5
2026-06-16,1,4,3,10,2,1,25,18,2,2,-0.13,6.48,53.3,0,-0.5
2026-06-16,1,4,3,10,2,1,25,18,3,3,0.02,6.57,54.3,0,0
2026-06-16,1,4,3,10,2,1,25,18,4,4,-0.1,6.67,52.3,0,0
2026-06-16,1,4,3,10,2,1,25,18,5,5,-0.1,6.72,47.2,0,-0.5
2026-06-16,1,4,3,10,2,1,25,18,6,6,-0.05,6.64,55.5,0,0
2026-06-16,1,5,4,10,3,1,25,18,1,1,0.06,6.71,52,0,-0.5
2026-06-16,1,5,4,10,3,1,25,18,2,2,0.04,6.77,46,1,-0.5
2026-06-16,1,5,4,10,3,1,25,18,3,3,-0.08,6.61,52.3,0,-0.5
2026-06-16,1,5,4,10,3,1,25,18,4,4,0.04,6.53,45.5,1.5,-0.5
2026-06-16,1,5,4,10,3,1,25,18,5,5,0.16,6.66,51.5,0.5,-0.5
2026-06-16,1,5,4,10,3,1,25,18,6,6,0.01,6.54,54.6,0,-0.5
2026-06-16,1,6,4,10,3,1,25,18,1,1,0.05,6.76,52,0,0
2026-06-16,1,6,4,10,3,1,25,18,2,2,0.04,6.68,52.4,0,-0.5
2026-06-16,1,6,4,10,3,1,25,18,3,3,0.15,6.64,52.3,0,0
2026-06-16,1,6,4,10,3,1,25,18,4,4,0.06,6.6,53.8,0,-0.5
2026-06-16,1,6,4,10,3,1,25,18,5,5,0.08,6.68,45.5,1.5,-0.5
2026-06-16,1,6,4,10,3,1,25,18,6,6,0.01,6.74,55.9,0,-0.5
2026-06-16,1,7,5,10,4,1,24,18,1,1,0.04,6.67,55,0,-0.5
2026-06-16,1,7,5,10,4,1,24,18,2,2,0.01,6.81,55.6,0,-0.5
2026-06-16,1,7,5,10,4,1,24,18,3,3,0.06,6.72,52.7,0,-0.5
2026-06-16,1,7,5,10,4,1,24,18,4,4,0.18,6.71,52.5,0,-0.5
2026-06-16,1,7,5,10,4,1,24,18,5,5,0.09,6.68,46,1,0
2026-06-16,1,7,5,10,4,1,24,18,6,6,0.09,6.79,63.2,0,0
2026-06-16,1,8,4,10,3,1,24,18,1,1,0.16,6.72,51,1,0
2026-06-16,1,8,4,10,3,1,24,18,2,2,0.07,6.63,48.4,0,-0.5
2026-06-16,1,8,4,10,3,1,24,18,3,3,0.27,6.6,52,0,0
2026-06-16,1,8,4,10,3,1,24,18,4,6,0.16,6.64,53.1,0,-0.5
2026-06-16,1,8,4,10,3,1,24,18,5,4,0.34,6.77,52.6,0,0
2026-06-16,1,8,4,10,3,1,24,18,6,5,0.19,6.73,52,0,-0.5
2026-06-16,1,9,4,12,3,2,23,18,1,1,0.01,6.82,52.3,0,0
2026-06-16,1,9,4,12,3,2,23,18,2,2,-0.01,6.7,51.5,0.5,0
2026-06-16,1,9,4,12,3,2,23,18,3,3,0.13,6.81,52.7,0,0
2026-06-16,1,9,4,12,3,2,23,18,4,4,0.07,6.66,52,0,-0.5
2026-06-16,1,9,4,12,3,2,23,18,5,5,0.13,6.63,52,0,-0.5
2026-06-16,1,9,4,12,3,2,23,18,6,6,0.02,6.81,52.1,0,-0.5
2026-06-16,1,10,1,10,1,2,23,18,1,1,0.08,6.75,53.3,0,-0.5
2026-06-16,1,10,1,10,1,2,23,18,2,2,0.13,6.84,44.5,2.5,0
2026-06-16,1,10,1,10,1,2,23,18,3,3,0.05,6.93,54.6,0,-0.5
2026-06-16,1,10,1,10,1,2,23,18,4,4,0.11,6.81,47.4,0,0
2026-06-16,1,10,1,10,1,2,23,18,5,5,0.05,6.75,52.4,0,-0.5
2026-06-16,1,10,1,10,1,2,23,18,6,6,0.18,6.92,52,0,-0.5
2026-06-16,1,11,1,10,1,2,23,18,1,,,0,45.5,1.5,0
2026-06-16,1,11,1,10,1,2,23,18,2,,,0,52,0,0
2026-06-16,1,11,1,10,1,2,23,18,3,,,0,52,0,0
2026-06-16,1,11,1,10,1,2,23,18,4,,,0,52,0,0
2026-06-16,1,11,1,10,1,2,23,18,5,,,0,51.5,0.5,0
2026-06-16,1,11,1,10,1,2,23,18,6,,,0,52.3,0,0
2026-06-16,1,12,1,10,1,2,23,18,1,,,0,52,0,0
2026-06-16,1,12,1,10,1,2,23,18,2,,,0,52.3,0,0
2026-06-16,1,12,1,10,1,2,23,18,3,,,0,52,0,0
2026-06-16,1,12,1,10,1,2,23,18,4,,,0,52.1,0,0
2026-06-16,1,12,1,10,1,2,23,18,5,,,0,55,0,0
2026-06-16,1,12,1,10,1,2,23,18,6,,,0,52,0,0
2026-06-16,3,1,6,4,5,2,23,20,1,1,-0.03,6.84,53.5,0,0
2026-06-16,3,1,6,4,5,2,23,20,2,2,-0.05,6.68,54.1,0,0.5
2026-06-16,3,1,6,4,5,2,23,20,3,3,0.25,6.61,52,0,0
