race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,1,3643,米田 隆弘,3,53,53.8,0,0,0.17,5.35,31.07,51.46,5.38,25,50,36.36,46.28,30.23,46.51
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,2,4644,山田 亮太,2,47,52,0,0,0.15,6.23,44.26,65.57,5.97,36.36,63.64,35.65,49.57,38.58,55.91
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,3,5230,石原 凪紗,4,22,45.5,0,0,0.16,4.99,33.63,46.02,3,11.11,11.11,29.73,44.14,31.5,49.61
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,4,4901,出口 舞有子,4,33,46,0,0,0.19,5.07,26.39,51.39,4.22,33.33,33.33,40,57.27,32.8,48.8
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,5,3981,今坂 晃広,3,48,53.3,0,0,0.2,3.94,18.27,29.81,3.21,20.83,25,15.85,30.49,40.31,61.24
2026-06-16,1,1,2026-06-16 15:25:00,5,第23回新東通信杯 BTS福島開場15周年記念,6,4808,松尾 拓,1,37,51.5,0,0,0.16,5.68,34.74,54.74,6,42.11,55.26,30.3,44.7,36.51,59.52
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,1,3581,加木 郁,3,53,52.1,0,0,0.19,4.71,24.04,42.31,3.5,16.67,16.67,36.04,53.15,24.79,38.46
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,2,4953,尾上 雅也,1,31,52.2,0,0,0.14,6.64,53.91,66.09,5.17,31.71,46.34,34.82,51.79,26.92,43.85
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,3,4690,高石 梨菜,4,32,47.4,0,0,,5,29.41,47.06,0,0,0,34.38,52.34,33.87,51.61
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,4,3161,古場 輝義,3,66,52.2,0,0,0.18,5.1,37.68,53.62,5.52,34.48,62.07,35.88,53.44,28.93,43.8
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,5,4568,廣瀬 真也,2,38,51,0,0,0.16,5.5,32.22,55.56,5.38,33.33,57.78,28.21,47.01,23.58,38.21
2026-06-16,1,2,2026-06-16 15:57:00,5,第23回新東通信杯 BTS福島開場15周年記念,6,3655,本橋 克洋,2,52,52.7,1,0,0.17,5.35,30.65,54.03,5.92,38.33,60.83,21.78,40.59,31.54,46.15
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,1,3893,汐崎 正則,3,50,52.5,0,0,0.16,5.01,29.35,47.83,4.78,22.22,50,43.12,60.55,41.6,57.6
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,2,3349,吉田 一郎,2,58,52,0,0,0.16,6.78,53.09,74.07,5.65,40,55,24.71,36.47,37.07,54.31
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,3,5011,高木 圭大,3,29,53.1,0,0,0.18,3.74,17.11,28.95,3.27,18.18,27.27,22.47,37.08,30.16,50
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,4,5067,山田 真聖,3,27,58.8,0,0,0.14,5.29,34.25,56.16,4.15,25.93,29.63,23.47,33.67,38.28,51.56
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,5,3554,仲口 博崇,1,53,52,0,0,0.18,6.31,47.69,67.69,6.3,55,65,27.64,51.22,30.08,44.72
2026-06-16,1,3,2026-06-16 16:35:00,5,第23回新東通信杯 BTS福島開場15周年記念,6,4017,向井 美鈴,2,46,44.5,0,0,0.17,5.73,36.28,56.64,5.2,45,45,28.09,35.96,30.95,48.41
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,1,4549,小林 文彦,3,37,52,0,0,0.19,6,36.84,63.16,4.8,20,40,38.39,51.79,33.33,53.97
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,2,5034,若林 義人,1,28,53.3,0,0,0.14,6.8,53.85,67.69,6.2,43.33,60,19.72,30.99,32.8,44.8
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,3,3868,尾形 栄治,3,50,54.3,0,0,0.2,4.79,26.32,45.26,4.68,31.58,36.84,34.43,54.92,41.46,60.98
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,4,4513,河野 真也,2,37,52.3,0,0,0.18,5.69,41.94,54.84,6,44.44,61.11,18.07,39.76,34.11,56.59
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,5,3528,笠野 友紀恵,3,55,47.2,0,0,0.19,3.91,10.53,30.53,0,0,0,33.33,45.83,29.03,40.32
2026-06-16,1,4,2026-06-16 17:11:00,5,第23回新東通信杯 BTS福島開場15周年記念,6,4053,芦澤 望,2,48,55.5,1,0,0.15,5.88,41.51,62.26,5.95,46.51,60.47,20.69,31.03,40,53.6
