racer_id,grade,races,wins,win_rate,low_sample
0,2,1,0,0.0,1
0,4,3,0,0.0,1
0,5,21,0,0.0,0
2538,4,9,0,0.0,1
2538,5,255,4,0.0157,0
2878,4,20,3,0.15,0
2878,5,276,36,0.1304,0
3024,2,8,1,0.125,1
3024,3,9,1,0.1111,1
3024,4,39,11,0.2821,0
3024,5,183,66,0.3607,0
3054,4,37,8,0.2162,0
3054,5,194,30,0.1546,0
3070,5,164,26,0.1585,0
3072,4,28,2,0.0714,0
3072,5,254,27,0.1063,0
3075,4,38,5,0.1316,0
3075,5,254,24,0.0945,0
3081,4,10,1,0.1,0
3081,5,154,22,0.1429,0
3105,4,19,4,0.2105,0
3105,5,255,31,0.1216,0
3107,5,214,13,0.0607,0
3156,4,19,3,0.1579,0
3156,5,238,12,0.0504,0
3158,4,19,3,0.1579,0
3158,5,321,73,0.2274,0
3159,1,9,2,0.2222,1
3159,2,18,3,0.1667,0
3159,5,198,61,0.3081,0
3161,4,29,2,0.069,0
3161,5,262,22,0.084,0
3175,4,101,8,0.0792,0
3175,5,154,5,0.0325,0
3176,4,29,2,0.069,0
3176,5,142,13,0.0915,0
3202,4,10,1,0.1,0
3202,5,272,23,0.0846,0
3207,4,76,3,0.0395,0
3207,5,120,5,0.0417,0
3211,5,275,11,0.04,0
3212,5,255,22,0.0863,0
3224,5,279,18,0.0645,0
3226,4,56,5,0.0893,0
3226,5,232,18,0.0776,0
3232,2,25,4,0.16,0
3232,3,15,2,0.1333,0
3232,4,99,16,0.1616,0
3232,5,116,24,0.2069,0
3233,4,10,2,0.2,0
3233,5,274,32,0.1168,0
3246,4,9,1,0.1111,1
3246,5,117,8,0.0684,0
3251,3,26,3,0.1154,0
3251,4,54,11,0.2037,0
3251,5,321,57,0.1776,0
3256,2,9,0,0.0,1
3256,4,51,14,0.2745,0
3256,5,285,73,0.2561,0
3257,4,50,25,0.5,0
3257,5,211,68,0.3223,0
3265,2,8,0,0.0,1
3265,4,10,0,0.0,0
3265,5,264,63,0.2386,0
3268,4,29,1,0.0345,0
3268,5,257,32,0.1245,0
3273,5,54,5,0.0926,0
3277,4,9,1,0.1111,1
3277,5,279,23,0.0824,0
3282,4,31,2,0.0645,0
3282,5,249,15,0.0602,0
3284,4,10,0,0.0,0
3284,5,263,37,0.1407,0
3286,5,202,23,0.1139,0
3289,4,43,3,0.0698,0
3289,5,113,8,0.0708,0
3293,5,266,5,0.0188,0
3294,4,32,3,0.0938,0
3294,5,213,18,0.0845,0
3297,4,37,0,0.0,0
3297,5,230,23,0.1,0
3300,2,9,2,0.2222,1
3300,4,17,2,0.1176,0
3300,5,308,68,0.2208,0
3302,3,9,1,0.1111,1
3302,4,73,15,0.2055,0
3302,5,125,19,0.152,0
3303,4,17,2,0.1176,0
3303,5,323,28,0.0867,0
3304,2,16,3,0.1875,0
3304,4,80,17,0.2125,0
3304,5,273,60,0.2198,0
3305,5,264,27,0.1023,0
3306,5,266,17,0.0639,0
3313,4,9,0,0.0,1
3313,5,272,25,0.0919,0
3315,4,30,0,0.0,0
3315,5,198,14,0.0707,0
3319,4,45,3,0.0667,0
3319,5,246,32,0.1301,0
3327,4,9,3,0.3333,1
3327,5,312,63,0.2019,0
3333,2,8,0,0.0,1
3333,4,31,9,0.2903,0
3333,5,333,75,0.2252,0
3334,2,10,1,0.1,0
3334,4,169,33,0.1953,0
3334,5,169,22,0.1302,0
3339,4,18,3,0.1667,0
3339,5,244,20,0.082,0
3340,4,40,4,0.1,0
3340,5,265,29,0.1094,0
3346,5,121,9,0.0744,0
3349,4,10,3,0.3,0
3349,5,307,70,0.228,0
3350,4,8,0,0.0,1
3350,5,283,50,0.1767,0
3352,4,38,0,0.0,0
3352,5,251,6,0.0239,0
3353,4,47,4,0.0851,0
3353,5,120,6,0.05,0
3355,4,88,1,0.0114,0
3355,5,24,1,0.0417,0
3357,4,111,6,0.0541,0
3357,5,156,7,0.0449,0
3361,5,254,18,0.0709,0
3362,4,17,0,0.0,0
3362,5,293,48,0.1638,0
3370,4,8,2,0.25,1
3370,5,236,14,0.0593,0
3372,5,199,6,0.0302,0
3377,4,8,0,0.0,1
3377,5,234,13,0.0556,0
3381,4,56,8,0.1429,0
3381,5,250,34,0.136,0
3385,4,28,6,0.2143,0
3385,5,278,43,0.1547,0
3388,1,34,3,0.0882,0
3388,2,86,17,0.1977,0
3388,3,20,3,0.15,0
3388,5,135,56,0.4148,0
3391,4,9,0,0.0,1
3391,5,18,0,0.0,0
3392,4,9,1,0.1111,1
3392,5,270,16,0.0593,0
3401,5,270,29,0.1074,0
3406,4,50,14,0.28,0
3406,5,292,36,0.1233,0
