racer_id,is_night,races,wins,win_rate,low_sample
0,0,7,0,0.0,1
0,1,18,0,0.0,0
2538,0,233,4,0.0172,0
2538,1,31,0,0.0,0
2878,0,253,33,0.1304,0
2878,1,46,6,0.1304,0
3024,0,187,56,0.2995,0
3024,1,52,23,0.4423,0
3054,0,191,33,0.1728,0
3054,1,43,5,0.1163,0
3070,0,144,22,0.1528,0
3070,1,20,4,0.2,0
3072,0,249,26,0.1044,0
3072,1,33,3,0.0909,0
3075,0,282,28,0.0993,0
3075,1,10,1,0.1,0
3081,0,114,18,0.1579,0
3081,1,50,5,0.1,0
3105,0,239,35,0.1464,0
3105,1,37,0,0.0,0
3107,0,190,13,0.0684,0
3107,1,26,1,0.0385,0
3156,0,235,15,0.0638,0
3156,1,22,0,0.0,0
3158,0,338,75,0.2219,0
3158,1,5,1,0.2,1
3159,0,161,47,0.2919,0
3159,1,64,19,0.2969,0
3161,0,219,17,0.0776,0
3161,1,72,7,0.0972,0
3175,0,202,11,0.0545,0
3175,1,53,2,0.0377,0
3176,0,171,15,0.0877,0
3202,0,257,24,0.0934,0
3202,1,25,0,0.0,0
3207,0,172,8,0.0465,0
3207,1,24,0,0.0,0
3211,0,208,11,0.0529,0
3211,1,67,0,0.0,0
3212,0,200,18,0.09,0
3212,1,55,4,0.0727,0
3224,0,226,19,0.0841,0
3224,1,56,0,0.0,0
3226,0,264,23,0.0871,0
3226,1,28,1,0.0357,0
3232,0,184,37,0.2011,0
3232,1,71,9,0.1268,0
3233,0,259,30,0.1158,0
3233,1,28,4,0.1429,0
3246,0,118,9,0.0763,0
3246,1,8,0,0.0,1
3251,0,311,54,0.1736,0
3251,1,93,17,0.1828,0
3256,0,265,62,0.234,0
3256,1,83,26,0.3133,0
3257,0,191,65,0.3403,0
3257,1,70,28,0.4,0
3265,0,210,47,0.2238,0
3265,1,74,16,0.2162,0
3268,0,235,31,0.1319,0
3268,1,51,2,0.0392,0
3273,0,50,4,0.08,0
3273,1,4,1,0.25,1
3277,0,224,21,0.0938,0
3277,1,64,3,0.0469,0
3282,0,220,15,0.0682,0
3282,1,66,3,0.0455,0
3284,0,213,30,0.1408,0
3284,1,60,7,0.1167,0
3286,0,167,20,0.1198,0
3286,1,35,3,0.0857,0
3289,0,111,8,0.0721,0
3289,1,45,3,0.0667,0
3293,0,228,4,0.0175,0
3293,1,38,1,0.0263,0
3294,0,195,17,0.0872,0
3294,1,56,5,0.0893,0
3297,0,216,18,0.0833,0
3297,1,51,5,0.098,0
3300,0,280,61,0.2179,0
3300,1,57,13,0.2281,0
3302,0,168,30,0.1786,0
3302,1,39,5,0.1282,0
3303,0,290,26,0.0897,0
3303,1,53,4,0.0755,0
3304,0,286,61,0.2133,0
3304,1,87,20,0.2299,0
3305,0,205,23,0.1122,0
3305,1,59,4,0.0678,0
3306,0,233,14,0.0601,0
3306,1,33,3,0.0909,0
3313,0,241,24,0.0996,0
3313,1,42,2,0.0476,0
3315,0,175,11,0.0629,0
3315,1,56,3,0.0536,0
3319,0,244,35,0.1434,0
3319,1,52,3,0.0577,0
3327,0,258,55,0.2132,0
3327,1,66,11,0.1667,0
3333,0,320,72,0.225,0
3333,1,58,14,0.2414,0
3334,0,277,46,0.1661,0
3334,1,78,12,0.1538,0
3339,0,236,21,0.089,0
3339,1,29,4,0.1379,0
3340,0,270,30,0.1111,0
3340,1,41,3,0.0732,0
3346,0,95,9,0.0947,0
3346,1,26,0,0.0,0
3349,0,194,48,0.2474,0
3349,1,123,25,0.2033,0
3350,0,288,49,0.1701,0
3350,1,3,1,0.3333,1
3352,0,231,4,0.0173,0
3352,1,62,2,0.0323,0
3353,0,136,9,0.0662,0
3353,1,31,1,0.0323,0
3355,0,107,2,0.0187,0
3355,1,11,1,0.0909,0
3357,0,236,12,0.0508,0
3357,1,35,1,0.0286,0
3361,0,203,14,0.069,0
3361,1,51,4,0.0784,0
3362,0,215,37,0.1721,0
3362,1,95,11,0.1158,0
3370,0,249,17,0.0683,0
3370,1,2,0,0.0,1
3372,0,177,6,0.0339,0
3372,1,24,0,0.0,0
3377,0,234,12,0.0513,0
3377,1,8,1,0.125,1
3381,0,253,37,0.1462,0
3381,1,53,5,0.0943,0
3385,0,260,46,0.1769,0
3385,1,48,4,0.0833,0
3388,0,206,59,0.2864,0
3388,1,72,21,0.2917,0
3391,0,20,0,0.0,0
3391,1,7,0,0.0,1
3392,0,234,16,0.0684,0
3392,1,45,1,0.0222,0
3401,0,218,25,0.1147,0
3401,1,56,4,0.0714,0
3406,0,238,36,0.1513,0
3406,1,107,14,0.1308,0
3411,0,220,12,0.0545,0
3411,1,38,0,0.0,0
3412,0,280,68,0.2429,0
3412,1,94,21,0.2234,0
3414,0,49,7,0.1429,0
3414,1,31,2,0.0645,0
3415,0,207,42,0.2029,0
3415,1,139,36,0.259,0
3419,0,63,2,0.0317,0
3419,1,25,0,0.0,0
3422,0,267,72,0.2697,0
3422,1,84,26,0.3095,0
3430,0,278,33,0.1187,0
3430,1,27,1,0.037,0
3432,0,223,19,0.0852,0
3432,1,50,1,0.02,0
3434,0,266,28,0.1053,0
3434,1,41,4,0.0976,0
3435,0,280,60,0.2143,0
3435,1,64,14,0.2188,0
3436,0,238,45,0.1891,0
3436,1,43,9,0.2093,0
3439,0,327,72,0.2202,0
3439,1,8,0,0.0,1
3441,0,230,20,0.087,0
3441,1,64,2,0.0312,0
3442,0,196,20,0.102,0
3442,1,85,3,0.0353,0
3444,0,150,12,0.08,0
3444,1,27,1,0.037,0
3445,0,223,25,0.1121,0
3445,1,47,1,0.0213,0
3448,0,183,14,0.0765,0
3448,1,42,2,0.0476,0
3454,0,217,22,0.1014,0
3454,1,56,7,0.125,0
3455,0,246,31,0.126,0
3455,1,50,7,0.14,0
3458,0,176,15,0.0852,0
3458,1,80,5,0.0625,0
3459,0,228,13,0.057,0
3459,1,33,1,0.0303,0
3461,0,150,11,0.0733,0
3461,1,37,1,0.027,0
3462,0,64,10,0.1562,0
3462,1,10,0,0.0,0
3463,0,239,19,0.0795,0
3463,1,45,3,0.0667,0
3467,0,200,11,0.055,0
3467,1,47,3,0.0638,0
3470,0,217,34,0.1567,0
3470,1,33,3,0.0909,0
3471,0,225,15,0.0667,0
3471,1,33,2,0.0606,0
3473,0,305,90,0.2951,0
3473,1,74,21,0.2838,0
3474,0,270,23,0.0852,0
3474,1,37,2,0.0541,0
3475,0,206,38,0.1845,0
3475,1,79,13,0.1646,0
3477,0,217,11,0.0507,0
3477,1,56,1,0.0179,0
3478,0,248,39,0.1573,0
3478,1,65,4,0.0615,0
3482,0,313,42,0.1342,0
3482,1,59,5,0.0847,0
3484,0,228,48,0.2105,0
3484,1,78,16,0.2051,0
3489,0,329,64,0.1945,0
3489,1,83,11,0.1325,0
3497,0,189,39,0.2063,0
3497,1,75,4,0.0533,0
3499,0,251,63,0.251,0
3499,1,86,16,0.186,0
3502,0,255,36,0.1412,0
3502,1,71,10,0.1408,0
3503,0,270,20,0.0741,0
3503,1,20,1,0.05,0
3505,0,264,39,0.1477,0
3505,1,70,12,0.1714,0
3507,0,199,15,0.0754,0
3507,1,33,0,0.0,0
3508,0,241,34,0.1411,0
3508,1,67,7,0.1045,0
3509,0,189,7,0.037,0
3509,1,41,0,0.0,0
3514,0,242,51,0.2107,0
3514,1,87,24,0.2759,0
3516,0,222,20,0.0901,0
3516,1,45,3,0.0667,0
3517,0,258,41,0.1589,0
3517,1,54,13,0.2407,0
3518,0,183,11,0.0601,0
3518,1,47,1,0.0213,0
3519,0,231,18,0.0779,0
3519,1,45,3,0.0667,0
3523,0,206,12,0.0583,0
3523,1,36,1,0.0278,0
3527,0,249,31,0.1245,0
3527,1,80,11,0.1375,0
3528,0,185,16,0.0865,0
3528,1,62,3,0.0484,0
3532,0,129,35,0.2713,0
3532,1,111,29,0.2613,0
3535,0,218,22,0.1009,0
3535,1,51,3,0.0588,0
3538,0,128,9,0.0703,0
3538,1,60,3,0.05,0
3539,0,252,22,0.0873,0
3539,1,61,3,0.0492,0
3541,0,277,60,0.2166,0
3541,1,73,13,0.1781,0
3542,0,258,22,0.0853,0
3542,1,27,1,0.037,0
3543,0,187,29,0.1551,0
3543,1,53,7,0.1321,0
3544,0,187,12,0.0642,0
3544,1,29,0,0.0,0
3546,0,203,19,0.0936,0
3546,1,77,2,0.026,0
3548,0,337,61,0.181,0
3548,1,40,7,0.175,0
3550,0,245,50,0.2041,0
3550,1,102,21,0.2059,0
3551,0,193,11,0.057,0
3551,1,30,2,0.0667,0
3553,0,5,2,0.4,1
3553,1,5,0,0.0,1
3554,0,299,83,0.2776,0
3554,1,123,30,0.2439,0
3556,0,278,87,0.3129,0
3556,1,93,27,0.2903,0
3557,0,335,77,0.2299,0
3557,1,112,23,0.2054,0
3558,0,183,27,0.1475,0
3558,1,87,10,0.1149,0
3562,0,289,62,0.2145,0
3562,1,82,18,0.2195,0
3563,0,280,45,0.1607,0
3563,1,47,5,0.1064,0
3564,0,245,33,0.1347,0
3564,1,60,3,0.05,0
3566,0,243,29,0.1193,0
3566,1,54,4,0.0741,0
3567,0,163,11,0.0675,0
3567,1,46,4,0.087,0
3568,0,202,24,0.1188,0
3568,1,82,6,0.0732,0
3569,0,272,20,0.0735,0
3569,1,32,0,0.0,0
3572,0,257,35,0.1362,0
3572,1,79,12,0.1519,0
3574,0,207,50,0.2415,0
3574,1,119,33,0.2773,0
3576,0,237,50,0.211,0
3576,1,91,15,0.1648,0
3577,0,213,27,0.1268,0
3577,1,31,2,0.0645,0
3578,0,156,10,0.0641,0
3578,1,47,4,0.0851,0
3579,0,163,21,0.1288,0
3579,1,54,6,0.1111,0
3580,0,243,17,0.07,0
3580,1,36,2,0.0556,0
3581,0,251,25,0.0996,0
3581,1,50,6,0.12,0
3582,0,293,79,0.2696,0
3582,1,60,14,0.2333,0
3583,0,207,6,0.029,0
3583,1,31,1,0.0323,0
3584,0,262,26,0.0992,0
3584,1,39,4,0.1026,0
3587,0,238,18,0.0756,0
3587,1,47,1,0.0213,0
3589,0,206,24,0.1165,0
3589,1,36,1,0.0278,0
3590,0,291,72,0.2474,0
3590,1,83,30,0.3614,0
3591,0,152,7,0.0461,0
3591,1,32,1,0.0312,0
3596,0,207,15,0.0725,0
3596,1,33,2,0.0606,0
3600,0,49,4,0.0816,0
3602,0,225,24,0.1067,0
3602,1,41,1,0.0244,0
3604,0,214,21,0.0981,0
3604,1,42,2,0.0476,0
3605,0,227,18,0.0793,0
3605,1,34,2,0.0588,0
3606,0,284,42,0.1479,0
3606,1,49,8,0.1633,0
3611,0,231,36,0.1558,0
3611,1,71,11,0.1549,0
3612,0,333,74,0.2222,0
3612,1,81,23,0.284,0
3613,0,285,60,0.2105,0
3613,1,95,19,0.2,0
3614,0,272,23,0.0846,0
3614,1,48,3,0.0625,0
3615,0,258,26,0.1008,0
3615,1,52,3,0.0577,0
3616,0,210,29,0.1381,0
3616,1,51,5,0.098,0
3617,0,215,30,0.1395,0
3617,1,57,2,0.0351,0
3618,0,259,71,0.2741,0
3618,1,87,14,0.1609,0
3619,0,234,29,0.1239,0
3619,1,67,7,0.1045,0
3620,0,226,20,0.0885,0
3620,1,39,4,0.1026,0
3621,0,190,21,0.1105,0
3621,1,46,6,0.1304,0
3623,0,207,77,0.372,0
3623,1,134,48,0.3582,0
3627,0,243,31,0.1276,0
3627,1,77,15,0.1948,0
3629,0,250,59,0.236,0
3629,1,67,12,0.1791,0
3630,0,159,7,0.044,0
3630,1,28,1,0.0357,0
3631,0,97,4,0.0412,0
3631,1,50,0,0.0,0
3635,0,230,31,0.1348,0
3635,1,71,8,0.1127,0
3637,0,221,16,0.0724,0
3637,1,43,2,0.0465,0
3641,0,258,60,0.2326,0
3641,1,107,22,0.2056,0
3642,0,200,19,0.095,0
3642,1,46,1,0.0217,0
3643,0,273,40,0.1465,0
3643,1,34,1,0.0294,0
3645,0,122,13,0.1066,0
3645,1,8,1,0.125,1
3647,0,263,12,0.0456,0
3647,1,28,1,0.0357,0
3652,0,213,14,0.0657,0
3652,1,37,2,0.0541,0
3653,0,154,11,0.0714,0
3653,1,46,1,0.0217,0
3654,0,265,79,0.2981,0
3654,1,65,18,0.2769,0
3655,0,268,31,0.1157,0
3655,1,80,15,0.1875,0
3656,0,203,19,0.0936,0
3656,1,56,3,0.0536,0
3659,0,193,25,0.1295,0
3659,1,80,7,0.0875,0
3660,0,203,9,0.0443,0
3660,1,51,0,0.0,0
