racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
2538,高橋 二朗,263,0.2121,0.007246,0
2878,富山 弘幸,299,0.1724,0.004742,0
3024,西島 義則,239,0.1614,0.005783,0
3054,北川 幸典,234,0.1721,0.005626,0
3070,山室 展弘,163,0.1582,0.00475,0
3072,西田 靖,282,0.1602,0.00457,0
3075,中村 裕将,292,0.1301,0.004414,0
3081,岡本 慎治,162,0.1709,0.005463,0
3105,内山 文典,276,0.1672,0.005306,0
3107,平岡 重典,217,0.1721,0.004903,0
3156,金子 良昭,257,0.1662,0.005255,0
3158,島川 光男,345,0.1458,0.003748,0
3159,江口 晃生,223,0.153,0.004498,0
3161,古場 輝義,291,0.1808,0.005964,0
3175,渡辺 千草,255,0.1576,0.003975,0
3176,長谷川 巌,171,0.1871,0.005271,0
3202,三品 隆浩,282,0.2001,0.006658,0
3207,田村 美和,196,0.1765,0.006535,0
3211,北川 敏弘,275,0.1722,0.004862,0
3212,亀本 勇樹,254,0.1659,0.00564,0
3224,栗山 繁洋,284,0.1885,0.004936,0
3226,浦田 信義,292,0.181,0.006184,0
3232,山川 美由紀,255,0.1594,0.003878,0
3233,小畑 実成,289,0.1663,0.004974,0
3246,星野 政彦,125,0.157,0.006834,0
3251,平石 和男,404,0.1896,0.003451,0
3256,三角 哲男,348,0.1432,0.004393,0
3257,田頭 実,259,0.1342,0.00504,0
3265,今村 暢孝,285,0.1399,0.004353,0
3268,森 竜也,286,0.1637,0.003774,0
3273,石田 豪,51,0.1763,0.003584,0
3277,齋藤 勇,288,0.1719,0.004769,0
3282,池本 輝明,287,0.1939,0.005194,0
3284,渡邊 伸太郎,272,0.1928,0.006836,0
3286,坂東 満,201,0.1607,0.003865,0
3289,高橋 淳美,156,0.1901,0.007929,0
3293,宮内 由紀英,264,0.1936,0.005617,0
3294,野中 義生,251,0.1542,0.003777,0
3297,藤丸 光一,268,0.1969,0.005626,0
3300,川崎 智幸,337,0.1503,0.004225,0
3302,谷川 里江,207,0.1716,0.005175,0
3303,渡辺 豊,343,0.1976,0.005847,0
3304,烏野 賢太,375,0.1683,0.003796,0
3305,小野 信樹,263,0.1655,0.003012,0
3306,武田 正紀,265,0.1557,0.004707,0
3313,本吉 正樹,284,0.176,0.005006,0
3315,広瀬 聖仁,228,0.1679,0.008432,0
3319,山崎 義明,298,0.162,0.003312,0
3327,野長瀬 正孝,323,0.1626,0.005279,0
3333,丸尾 義孝,378,0.1466,0.00358,0
3334,角 ひとみ,357,0.1963,0.004582,0
3339,泉 具巳,266,0.1641,0.006348,0
3340,池田 雷太,313,0.1876,0.006453,0
3346,宮本 裕之,120,0.1618,0.004828,0
3349,吉田 一郎,316,0.1588,0.004632,0
3350,藤本 佳史,291,0.1593,0.003944,0
3352,小川 晃司,292,0.1689,0.00562,0
3353,前田 光昭,167,0.1577,0.00852,0
3355,橋谷田 佳織,120,0.2603,0.006837,0
3357,福島 陽子,271,0.199,0.005813,0
3361,岡部 浩,250,0.1753,0.005188,0
3362,間嶋 仁志,309,0.1875,0.005085,0
3370,坪内 実,252,0.1855,0.007241,0
3372,加藤 雅之,203,0.2099,0.005281,0
3377,塚田 修二,240,0.2012,0.006209,0
3381,滝沢 芳行,305,0.1432,0.004205,0
3385,渡邉 睦広,306,0.1564,0.00458,0
3388,今垣 光太郎,277,0.1544,0.005688,0
3391,鈴木 茂正,27,0.1907,0.00494,0
3392,小森 信雄,279,0.1926,0.004649,0
3401,上田 隆章,273,0.2101,0.006063,0
3406,中里 英夫,346,0.17,0.004377,0
3411,池上 隆行,259,0.1652,0.005344,0
3412,鈴木 博,376,0.1604,0.003966,0
