racer_id,stadium_number,entry_course_actual,races,wins,win_rate,low_sample
2538,1,1,1,0,0.0,1
2538,1,2,2,0,0.0,1
2538,1,3,3,0,0.0,1
2538,1,4,1,0,0.0,1
2538,1,5,2,0,0.0,1
2538,10,1,2,0,0.0,1
2538,10,2,3,1,0.3333,1
2538,10,3,3,0,0.0,1
2538,10,4,2,0,0.0,1
2538,10,5,3,0,0.0,1
2538,10,6,3,0,0.0,1
2538,11,1,1,0,0.0,1
2538,11,2,2,0,0.0,1
2538,11,3,1,0,0.0,1
2538,11,4,2,0,0.0,1
2538,11,5,2,0,0.0,1
2538,11,6,1,0,0.0,1
2538,12,1,3,1,0.3333,1
2538,12,2,4,0,0.0,1
2538,12,3,4,0,0.0,1
2538,12,4,1,0,0.0,1
2538,12,5,3,0,0.0,1
2538,12,6,3,0,0.0,1
2538,13,1,2,0,0.0,1
2538,13,2,3,0,0.0,1
2538,13,3,4,0,0.0,1
2538,13,4,2,0,0.0,1
2538,13,5,5,0,0.0,1
2538,13,6,1,0,0.0,1
2538,14,1,1,0,0.0,1
2538,14,2,1,0,0.0,1
2538,14,3,2,0,0.0,1
2538,14,4,1,0,0.0,1
2538,14,6,1,0,0.0,1
2538,16,1,1,0,0.0,1
2538,16,2,3,0,0.0,1
2538,16,3,1,0,0.0,1
2538,16,4,1,0,0.0,1
2538,16,5,2,0,0.0,1
2538,16,6,1,0,0.0,1
2538,18,1,3,0,0.0,1
2538,18,2,6,0,0.0,1
2538,18,3,3,0,0.0,1
2538,18,4,6,0,0.0,1
2538,18,5,1,0,0.0,1
2538,18,6,5,0,0.0,1
2538,2,2,1,0,0.0,1
2538,20,1,2,1,0.5,1
2538,20,2,3,0,0.0,1
2538,20,3,2,0,0.0,1
2538,20,4,2,0,0.0,1
2538,20,5,3,0,0.0,1
2538,20,6,2,0,0.0,1
2538,21,1,1,0,0.0,1
2538,21,2,1,0,0.0,1
2538,21,3,1,0,0.0,1
2538,21,4,4,0,0.0,1
2538,21,6,2,0,0.0,1
2538,22,1,2,0,0.0,1
2538,22,2,1,0,0.0,1
2538,22,3,2,0,0.0,1
2538,22,4,2,0,0.0,1
2538,22,5,2,0,0.0,1
2538,23,1,1,0,0.0,1
2538,23,2,5,0,0.0,1
2538,23,3,3,0,0.0,1
2538,23,4,6,0,0.0,1
2538,23,5,4,0,0.0,1
2538,23,6,1,0,0.0,1
2538,24,1,1,0,0.0,1
2538,24,2,2,0,0.0,1
2538,24,3,2,0,0.0,1
2538,24,4,2,0,0.0,1
2538,24,5,1,0,0.0,1
2538,24,6,1,0,0.0,1
2538,4,1,5,1,0.2,1
2538,4,2,5,0,0.0,1
2538,4,3,6,0,0.0,1
2538,4,4,6,0,0.0,1
2538,4,5,4,0,0.0,1
2538,4,6,1,0,0.0,1
2538,5,1,8,0,0.0,1
2538,5,2,9,0,0.0,1
2538,5,3,7,0,0.0,1
2538,5,4,8,0,0.0,1
2538,5,5,5,0,0.0,1
2538,5,6,4,0,0.0,1
2538,7,2,1,0,0.0,1
2538,7,3,4,0,0.0,1
2538,7,5,2,0,0.0,1
2538,7,6,1,0,0.0,1
2538,8,1,2,0,0.0,1
2538,8,2,3,0,0.0,1
2538,8,3,3,0,0.0,1
2538,8,4,1,0,0.0,1
2538,8,5,2,0,0.0,1
2538,8,6,1,0,0.0,1
2538,9,2,1,0,0.0,1
2538,9,3,1,0,0.0,1
2538,9,4,1,0,0.0,1
2538,9,5,1,0,0.0,1
2538,9,6,1,0,0.0,1
2878,1,1,2,0,0.0,1
2878,1,2,2,0,0.0,1
2878,1,3,2,1,0.5,1
2878,1,4,5,1,0.2,1
2878,1,6,1,0,0.0,1
2878,10,1,6,2,0.3333,1
2878,10,2,6,0,0.0,1
2878,10,3,6,2,0.3333,1
2878,10,4,11,1,0.0909,0
2878,10,5,4,0,0.0,1
2878,10,6,2,0,0.0,1
2878,12,1,5,2,0.4,1
2878,12,2,7,0,0.0,1
2878,12,3,5,0,0.0,1
2878,12,4,5,1,0.2,1
2878,12,5,5,0,0.0,1
2878,12,6,1,0,0.0,1
2878,13,1,3,1,0.3333,1
2878,13,2,3,0,0.0,1
2878,13,3,2,0,0.0,1
2878,13,4,2,1,0.5,1
2878,13,5,4,0,0.0,1
2878,13,6,2,0,0.0,1
2878,14,1,2,0,0.0,1
2878,14,2,1,0,0.0,1
2878,14,3,2,0,0.0,1
2878,14,4,2,1,0.5,1
2878,14,5,1,0,0.0,1
2878,14,6,2,0,0.0,1
2878,17,1,3,1,0.3333,1
2878,17,2,3,0,0.0,1
2878,17,3,3,0,0.0,1
2878,17,4,5,0,0.0,1
2878,17,5,4,0,0.0,1
