stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
1,1,0-1,1037,560,0.54,541,0.5217,0
1,1,2-3,1485,739,0.4976,714,0.4808,0
1,1,4-5,577,273,0.4731,256,0.4437,0
1,1,6+,262,107,0.4084,99,0.3779,0
1,2,0-1,1037,106,0.1022,0,0.0,0
1,2,2-3,1485,193,0.13,0,0.0,0
1,2,4-5,577,66,0.1144,0,0.0,0
1,2,6+,262,39,0.1489,0,0.0,0
1,3,0-1,1037,130,0.1254,0,0.0,0
1,3,2-3,1485,199,0.134,0,0.0,0
1,3,4-5,577,74,0.1282,0,0.0,0
1,3,6+,262,39,0.1489,0,0.0,0
1,4,0-1,1037,124,0.1196,0,0.0,0
1,4,2-3,1485,200,0.1347,0,0.0,0
1,4,4-5,577,84,0.1456,0,0.0,0
1,4,6+,262,41,0.1565,0,0.0,0
1,5,0-1,1036,92,0.0888,0,0.0,0
1,5,2-3,1485,118,0.0795,0,0.0,0
1,5,4-5,577,62,0.1075,0,0.0,0
1,5,6+,262,29,0.1107,0,0.0,0
1,6,0-1,1023,24,0.0235,0,0.0,0
1,6,2-3,1478,36,0.0244,0,0.0,0
1,6,4-5,574,18,0.0314,0,0.0,0
1,6,6+,259,7,0.027,0,0.0,0
10,1,0-1,764,401,0.5249,386,0.5052,0
10,1,2-3,1346,717,0.5327,688,0.5111,0
10,1,4-5,757,397,0.5244,379,0.5007,0
10,1,6+,397,188,0.4736,169,0.4257,0
10,2,0-1,764,118,0.1545,0,0.0,0
10,2,2-3,1346,184,0.1367,0,0.0,0
10,2,4-5,757,118,0.1559,0,0.0,0
10,2,6+,397,62,0.1562,0,0.0,0
10,3,0-1,764,100,0.1309,0,0.0,0
10,3,2-3,1346,208,0.1545,0,0.0,0
10,3,4-5,757,112,0.148,0,0.0,0
10,3,6+,397,53,0.1335,0,0.0,0
10,4,0-1,764,81,0.106,0,0.0,0
10,4,2-3,1346,139,0.1033,0,0.0,0
10,4,4-5,757,67,0.0885,0,0.0,0
10,4,6+,397,49,0.1234,0,0.0,0
10,5,0-1,764,46,0.0602,0,0.0,0
10,5,2-3,1345,80,0.0595,0,0.0,0
10,5,4-5,757,46,0.0608,0,0.0,0
10,5,6+,397,35,0.0882,0,0.0,0
10,6,0-1,756,18,0.0238,0,0.0,0
10,6,2-3,1335,18,0.0135,0,0.0,0
10,6,4-5,751,17,0.0226,0,0.0,0
10,6,6+,392,10,0.0255,0,0.0,0
11,1,0-1,851,468,0.5499,455,0.5347,0
11,1,2-3,1619,853,0.5269,821,0.5071,0
11,1,4-5,766,378,0.4935,361,0.4713,0
11,1,6+,114,56,0.4912,52,0.4561,0
11,2,0-1,851,97,0.114,0,0.0,0
11,2,2-3,1619,224,0.1384,0,0.0,0
11,2,4-5,766,121,0.158,0,0.0,0
11,2,6+,114,11,0.0965,0,0.0,0
11,3,0-1,851,110,0.1293,0,0.0,0
11,3,2-3,1619,242,0.1495,0,0.0,0
11,3,4-5,766,115,0.1501,0,0.0,0
11,3,6+,114,18,0.1579,0,0.0,0
11,4,0-1,851,106,0.1246,0,0.0,0
11,4,2-3,1619,157,0.097,0,0.0,0
11,4,4-5,766,79,0.1031,0,0.0,0
11,4,6+,114,14,0.1228,0,0.0,0
11,5,0-1,851,54,0.0635,0,0.0,0
11,5,2-3,1619,114,0.0704,0,0.0,0
11,5,4-5,766,61,0.0796,0,0.0,0
11,5,6+,114,9,0.0789,0,0.0,0
11,6,0-1,838,16,0.0191,0,0.0,0
11,6,2-3,1601,29,0.0181,0,0.0,0
11,6,4-5,753,12,0.0159,0,0.0,0
11,6,6+,114,6,0.0526,0,0.0,0
12,1,0-1,1651,938,0.5681,899,0.5445,0
12,1,2-3,1325,746,0.563,710,0.5358,0
12,1,4-5,323,168,0.5201,165,0.5108,0
12,1,6+,49,28,0.5714,26,0.5306,0
12,2,0-1,1651,232,0.1405,0,0.0,0
12,2,2-3,1325,189,0.1426,0,0.0,0
12,2,4-5,323,49,0.1517,0,0.0,0
12,2,6+,49,4,0.0816,0,0.0,0
12,3,0-1,1651,185,0.1121,0,0.0,0
12,3,2-3,1325,161,0.1215,0,0.0,0
12,3,4-5,323,50,0.1548,0,0.0,0
12,3,6+,49,8,0.1633,0,0.0,0
12,4,0-1,1651,175,0.106,0,0.0,0
12,4,2-3,1325,140,0.1057,0,0.0,0
12,4,4-5,323,32,0.0991,0,0.0,0
12,4,6+,49,5,0.102,0,0.0,0
12,5,0-1,1651,94,0.0569,0,0.0,0
12,5,2-3,1325,65,0.0491,0,0.0,0
12,5,4-5,323,21,0.065,0,0.0,0
12,5,6+,49,3,0.0612,0,0.0,0
12,6,0-1,1634,26,0.0159,0,0.0,0
12,6,2-3,1312,24,0.0183,0,0.0,0
12,6,4-5,322,3,0.0093,0,0.0,0
12,6,6+,48,1,0.0208,0,0.0,0
13,1,0-1,559,329,0.5886,318,0.5689,0
13,1,2-3,1096,635,0.5794,616,0.562,0
13,1,4-5,1122,666,0.5936,640,0.5704,0
13,1,6+,425,250,0.5882,242,0.5694,0
13,2,0-1,559,81,0.1449,0,0.0,0
13,2,2-3,1096,132,0.1204,0,0.0,0
