stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
1,1,10,1161,579,0.4987,558,0.4806,0
1,1,12,207,86,0.4155,82,0.3961,0
1,1,14,28,13,0.4643,13,0.4643,0
1,1,17,339,183,0.5398,175,0.5162,0
1,1,2,420,217,0.5167,207,0.4929,0
1,1,4,481,220,0.4574,205,0.4262,0
1,1,6,239,142,0.5941,136,0.569,0
1,1,8,474,233,0.4916,228,0.481,0
1,2,10,1161,131,0.1128,0,0.0,0
1,2,12,207,32,0.1546,0,0.0,0
1,2,14,28,0,0.0,0,0.0,0
1,2,17,339,34,0.1003,0,0.0,0
1,2,2,420,51,0.1214,0,0.0,0
1,2,4,481,72,0.1497,0,0.0,0
1,2,6,239,20,0.0837,0,0.0,0
1,2,8,474,59,0.1245,0,0.0,0
1,3,10,1161,153,0.1318,0,0.0,0
1,3,12,207,28,0.1353,0,0.0,0
1,3,14,28,9,0.3214,0,0.0,0
1,3,17,339,43,0.1268,0,0.0,0
1,3,2,420,51,0.1214,0,0.0,0
1,3,4,481,66,0.1372,0,0.0,0
1,3,6,239,32,0.1339,0,0.0,0
1,3,8,474,59,0.1245,0,0.0,0
1,4,10,1161,167,0.1438,0,0.0,0
1,4,12,207,30,0.1449,0,0.0,0
1,4,14,28,5,0.1786,0,0.0,0
1,4,17,339,37,0.1091,0,0.0,0
1,4,2,420,45,0.1071,0,0.0,0
1,4,4,481,72,0.1497,0,0.0,0
1,4,6,239,21,0.0879,0,0.0,0
1,4,8,474,72,0.1519,0,0.0,0
1,5,10,1161,105,0.0904,0,0.0,0
1,5,12,207,28,0.1353,0,0.0,0
1,5,14,28,1,0.0357,0,0.0,0
1,5,17,338,37,0.1095,0,0.0,0
1,5,2,420,43,0.1024,0,0.0,0
1,5,4,481,39,0.0811,0,0.0,0
1,5,6,239,13,0.0544,0,0.0,0
1,5,8,474,35,0.0738,0,0.0,0
1,6,10,1155,26,0.0225,0,0.0,0
1,6,12,205,3,0.0146,0,0.0,0
1,6,14,28,0,0.0,0,0.0,0
1,6,17,334,5,0.015,0,0.0,0
1,6,2,411,13,0.0316,0,0.0,0
1,6,4,477,12,0.0252,0,0.0,0
1,6,6,239,10,0.0418,0,0.0,0
1,6,8,473,16,0.0338,0,0.0,0
10,1,10,38,25,0.6579,24,0.6316,0
10,1,12,1008,525,0.5208,500,0.496,0
10,1,14,135,67,0.4963,64,0.4741,0
10,1,16,118,56,0.4746,56,0.4746,0
10,1,17,76,41,0.5395,38,0.5,0
10,1,2,529,272,0.5142,267,0.5047,0
10,1,4,803,403,0.5019,381,0.4745,0
10,1,6,479,263,0.5491,243,0.5073,0
10,1,8,66,42,0.6364,40,0.6061,0
10,2,10,38,5,0.1316,0,0.0,0
10,2,12,1008,142,0.1409,0,0.0,0
10,2,14,135,24,0.1778,0,0.0,0
10,2,16,118,22,0.1864,0,0.0,0
10,2,17,76,9,0.1184,0,0.0,0
10,2,2,529,65,0.1229,0,0.0,0
10,2,4,803,135,0.1681,0,0.0,0
10,2,6,479,70,0.1461,0,0.0,0
10,2,8,66,10,0.1515,0,0.0,0
10,3,10,38,5,0.1316,0,0.0,0
10,3,12,1008,135,0.1339,0,0.0,0
10,3,14,135,20,0.1481,0,0.0,0
10,3,16,118,14,0.1186,0,0.0,0
10,3,17,76,8,0.1053,0,0.0,0
10,3,2,529,80,0.1512,0,0.0,0
10,3,4,803,127,0.1582,0,0.0,0
10,3,6,479,76,0.1587,0,0.0,0
10,3,8,66,7,0.1061,0,0.0,0
10,4,10,38,3,0.0789,0,0.0,0
10,4,12,1008,111,0.1101,0,0.0,0
10,4,14,135,13,0.0963,0,0.0,0
10,4,16,118,14,0.1186,0,0.0,0
10,4,17,76,11,0.1447,0,0.0,0
10,4,2,529,62,0.1172,0,0.0,0
10,4,4,803,82,0.1021,0,0.0,0
10,4,6,479,36,0.0752,0,0.0,0
10,4,8,66,3,0.0455,0,0.0,0
