venue_code,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
1,12,0.4167,0.9167,0.1059,0
10,12,0.6667,0.75,0.0798,0
11,32,0.5625,0.6875,0.0958,0
12,23,0.5652,0.7826,0.1053,0
13,32,0.4375,0.8125,0.1091,0
14,36,0.5,0.75,0.1049,0
15,23,0.2609,0.5652,0.1409,0
16,36,0.3889,0.6667,0.1327,0
17,24,0.5833,0.7083,0.0961,0
18,31,0.7419,0.871,0.0819,0
19,12,0.75,0.9167,0.0754,0
2,24,0.5,0.7917,0.104,0
20,12,0.5,0.8333,0.1074,0
22,29,0.5862,0.8621,0.0915,0
23,35,0.6571,0.8286,0.0862,0
24,19,0.4737,0.6842,0.1143,0
3,24,0.75,0.875,0.0732,0
4,31,0.3548,0.5806,0.1337,0
5,32,0.625,0.7188,0.1012,0
6,24,0.5417,0.7083,0.1142,0
7,12,0.6667,0.8333,0.0845,0
8,31,0.6129,0.8065,0.0924,0
9,18,0.7222,0.8333,0.0798,0
