race_wind_direction_number,races,hit_top1_rate,hit_top2_rate,avg_brier_score,low_sample
1,17,0.5882,0.8235,0.1042,0
10,65,0.6308,0.8,0.0888,0
11,108,0.4907,0.7315,0.1114,0
12,72,0.625,0.7917,0.0915,0
13,84,0.4762,0.7024,0.1163,0
14,24,0.6667,0.7917,0.087,0
15,23,0.5217,0.7826,0.1059,0
16,1,0.0,1.0,0.126,1
17,88,0.5795,0.7386,0.0994,0
2,31,0.6129,0.7419,0.0995,0
3,77,0.6104,0.7792,0.0977,0
4,101,0.5842,0.8218,0.0978,0
5,100,0.57,0.75,0.1011,0
6,73,0.5068,0.726,0.1037,0
7,69,0.5942,0.8551,0.0906,0
8,23,0.4348,0.6957,0.1175,0
9,64,0.625,0.7188,0.0961,0
