race_wind_direction_number,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,4026,0.5743,0.762,0.0996,0.5747,4011,0
10,3393,0.5444,0.7392,0.1031,0.5411,3371,0
11,5579,0.5634,0.7519,0.1005,0.5613,5567,0
12,4264,0.5333,0.7413,0.1046,0.5279,4232,0
13,8348,0.5272,0.7213,0.1063,0.5251,8328,0
14,3564,0.5449,0.75,0.1028,0.5433,3558,0
15,4022,0.5316,0.7374,0.1049,0.529,4013,0
16,1671,0.5326,0.7205,0.106,0.5319,1662,0
17,4693,0.5485,0.7411,0.103,0.5482,4688,0
2,2659,0.5528,0.7398,0.1035,0.5501,2647,0
3,4000,0.5705,0.7545,0.0999,0.5694,3987,0
4,5367,0.5081,0.7246,0.1077,0.5038,5355,0
5,6958,0.5296,0.7256,0.1057,0.5287,6909,0
6,4057,0.5164,0.7338,0.1065,0.515,4045,0
7,6455,0.5655,0.765,0.1,0.5648,6429,0
8,1480,0.5264,0.7378,0.1049,0.5236,1480,0
9,6339,0.5887,0.7761,0.0972,0.5877,6306,0
