venue_code,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,3324,0.4925,0.6865,0.1112,0.4879,3312,0
10,3228,0.5158,0.7277,0.1067,0.5127,3216,0
11,3302,0.5242,0.7247,0.1065,0.5225,3290,0
12,3288,0.5572,0.7561,0.1024,0.5574,3276,0
13,3153,0.5899,0.7888,0.0964,0.5877,3141,0
14,2971,0.4877,0.6964,0.1109,0.4829,2959,0
15,3175,0.56,0.7512,0.1015,0.5599,3163,0
16,3288,0.5572,0.743,0.1024,0.5553,3276,0
17,3281,0.5684,0.7446,0.1009,0.5662,3269,0
18,3293,0.6149,0.7938,0.0926,0.6163,3281,0
19,3087,0.6016,0.7791,0.0964,0.602,3075,0
2,3107,0.4248,0.6704,0.1194,0.4202,3096,0
20,3261,0.5725,0.7504,0.1013,0.5716,3249,0
21,3248,0.5884,0.762,0.098,0.5868,3236,0
22,3136,0.5781,0.7707,0.0978,0.5759,3124,0
23,3009,0.5464,0.763,0.1014,0.5445,2997,0
24,3277,0.6076,0.7894,0.095,0.6058,3265,0
3,2818,0.4645,0.6987,0.1141,0.4615,2806,0
4,2925,0.4462,0.6838,0.1156,0.4432,2913,0
5,3195,0.5355,0.723,0.1055,0.536,3183,0
6,3428,0.5245,0.7357,0.1052,0.522,3416,0
7,3249,0.5592,0.7541,0.1016,0.557,3237,0
8,3493,0.5729,0.7615,0.0985,0.5734,3481,0
9,3339,0.5759,0.7598,0.0985,0.5723,3327,0
