race_wind_direction_number,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,4033,0.5745,0.7612,0.0996,0.5747,4018,0
10,3393,0.5444,0.7401,0.1031,0.5411,3371,0
11,5605,0.5636,0.7517,0.1004,0.562,5593,0
12,4270,0.5333,0.7407,0.1046,0.5278,4238,0
13,8367,0.5274,0.721,0.1063,0.525,8347,0
14,3570,0.5448,0.7499,0.1028,0.5432,3564,0
15,4024,0.5313,0.7366,0.105,0.5288,4015,0
16,1671,0.5326,0.7205,0.106,0.5319,1662,0
17,4705,0.5484,0.7416,0.103,0.5483,4700,0
2,2659,0.5528,0.7401,0.1035,0.5501,2647,0
3,4036,0.5699,0.7537,0.1001,0.5687,4023,0
4,5386,0.5085,0.7248,0.1077,0.5043,5374,0
5,6971,0.5295,0.7256,0.1058,0.5287,6922,0
6,4067,0.5168,0.7337,0.1064,0.5154,4055,0
7,6459,0.5656,0.7645,0.1,0.5649,6433,0
8,1483,0.526,0.737,0.105,0.5233,1483,0
9,6356,0.5889,0.7761,0.0972,0.5879,6323,0
