venue_code,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,3324,0.4907,0.6844,0.1115,0.4879,3312,0
10,3228,0.5167,0.7274,0.1065,0.5127,3216,0
11,3302,0.5233,0.7253,0.1069,0.5225,3290,0
12,3288,0.5575,0.7549,0.1025,0.5574,3276,0
13,3153,0.5902,0.7926,0.0967,0.5877,3141,0
14,2971,0.4874,0.6967,0.1107,0.4829,2959,0
15,3175,0.56,0.7509,0.1014,0.5599,3163,0
16,3288,0.5575,0.7436,0.1023,0.5553,3276,0
17,3281,0.569,0.7425,0.101,0.5662,3269,0
18,3293,0.6143,0.7911,0.0925,0.6163,3281,0
19,3087,0.6022,0.7778,0.0964,0.602,3075,0
2,3107,0.4239,0.6672,0.1199,0.4202,3096,0
20,3261,0.5731,0.747,0.1009,0.5716,3249,0
21,3248,0.5874,0.7602,0.098,0.5868,3236,0
22,3136,0.5791,0.7656,0.0979,0.5759,3124,0
23,3009,0.5464,0.7597,0.1013,0.5445,2997,0
24,3277,0.6048,0.7913,0.0949,0.6058,3265,0
3,2818,0.4762,0.6945,0.1132,0.4615,2806,0
4,2925,0.4444,0.6855,0.1154,0.4432,2913,0
5,3195,0.5355,0.723,0.1057,0.536,3183,0
6,3428,0.5245,0.734,0.1052,0.522,3416,0
7,3249,0.5574,0.7519,0.1017,0.557,3237,0
8,3493,0.5726,0.7581,0.0984,0.5734,3481,0
9,3339,0.5735,0.7574,0.0986,0.5723,3327,0
