race_wind_direction_number,races,model_hit_top1_rate,model_hit_top2_rate,model_avg_brier,naive_hit_top1_rate,naive_races,low_sample
1,4026,0.574,0.7566,0.0996,0.5747,4011,0
10,3393,0.5432,0.7377,0.1032,0.5411,3371,0
11,5579,0.5619,0.7537,0.1006,0.5613,5567,0
12,4264,0.534,0.7385,0.1044,0.5279,4232,0
13,8348,0.5271,0.7221,0.1063,0.5251,8328,0
14,3564,0.5457,0.7494,0.103,0.5433,3558,0
15,4022,0.5321,0.733,0.1049,0.529,4013,0
16,1671,0.5338,0.7205,0.1058,0.5319,1662,0
17,4693,0.5485,0.7385,0.1033,0.5482,4688,0
2,2659,0.5521,0.7352,0.1034,0.5501,2647,0
3,4000,0.571,0.75,0.0998,0.5694,3987,0
4,5367,0.512,0.725,0.1074,0.5038,5355,0
5,6958,0.5283,0.7271,0.1057,0.5287,6909,0
6,4057,0.5166,0.7291,0.1064,0.515,4045,0
7,6455,0.5656,0.7636,0.1001,0.5648,6429,0
8,1480,0.5291,0.7331,0.1052,0.5236,1480,0
9,6339,0.5867,0.7744,0.0972,0.5877,6306,0
