race_date,venue_code,race_number,grade,is_night,predicted_rank_1_racer,predicted_rank_1_probability,actual_rank_1_racer,actual_kimarite,entry_course_actual,entry_course_program,race_weather_number,race_wind,race_wind_direction_number,race_wave,race_temperature,race_water_temperature,motor_2rate,motor_3rate,racer_id,start_timing,hit_top1,hit_top2,brier_score,used_model,training_races_so_far,naive_predicted_course,naive_hit_top1
2025-05-01,1,1,5,0,2,0.1956,1,1,2,2,1,5,10,4,21,19,49.09,70.91,4407,0.18,0,0,0.1401,0,0,,
2025-05-01,1,2,5,0,3,0.1864,1,1,2,3,1,5,10,4,21,19,50.68,68.49,3947,0.1,0,0,0.1367,0,0,,
2025-05-01,1,3,5,0,3,0.1876,4,3,3,3,1,5,10,4,21,19,47.95,65.75,4128,0.35,0,0,0.1427,0,0,,
2025-05-01,1,4,5,0,5,0.1908,1,1,5,5,1,5,10,4,21,19,44.44,57.41,4362,0.19,0,0,0.1423,0,0,,
2025-05-01,1,5,5,1,4,0.1777,4,1,1,4,1,5,10,4,21,19,28.92,45.78,3159,0.07,1,1,0.1353,0,0,,
2025-05-01,1,6,5,1,3,0.1853,4,3,3,3,1,5,10,4,20,19,49.09,70.91,4407,0.21,0,0,0.1406,0,0,,
2025-05-01,1,7,5,1,2,0.1825,3,3,2,2,1,4,10,3,20,19,47.95,65.75,4128,0.26,0,1,0.137,0,0,,
2025-05-01,1,8,5,1,5,0.2,5,4,3,5,1,4,10,3,19,19,42.42,56.06,4238,0.15,1,1,0.1281,0,0,,
2025-05-01,1,9,5,1,1,0.1875,1,5,1,1,1,5,10,4,19,19,50.68,68.49,3947,0.31,1,1,0.1321,0,0,,
2025-05-01,1,10,5,1,6,0.1888,1,1,6,6,1,5,10,4,19,19,46.67,56,3740,0.23,0,1,0.1333,0,0,,
2025-05-01,1,11,5,1,2,0.1919,1,1,2,2,1,5,10,4,18,19,52,69.33,4420,0.17,0,1,0.1354,0,0,,
2025-05-01,1,12,5,1,1,0.1768,1,5,1,1,1,3,10,2,18,19,42.42,56.06,4238,0.17,1,1,0.1356,0,0,,
2025-05-01,2,1,5,0,1,0.1875,3,3,1,1,1,3,16,3,20,19,47.8,60.99,3546,0.11,0,0,0.1409,0,0,,
2025-05-01,2,2,5,0,5,0.1801,2,3,4,5,1,3,16,3,21,20,38.29,60.57,5087,0.19,0,0,0.1372,0,0,,
2025-05-01,2,3,5,0,5,0.1896,3,3,5,5,1,4,14,4,21,20,39.89,52.25,4144,0.2,0,0,0.1396,0,0,,
2025-05-01,2,4,5,0,6,0.174,3,3,6,6,1,5,16,4,21,20,43.4,59.75,4201,0.23,0,0,0.1393,0,0,,
2025-05-01,2,5,5,0,4,0.1883,3,3,4,4,1,4,16,4,21,20,34.76,50,4573,0.09,0,0,0.1429,0,0,,
2025-05-01,2,7,5,0,3,0.1875,3,4,3,3,1,6,16,5,22,20,47.8,60.99,3546,0.23,1,1,0.1321,0,0,,
2025-05-01,2,8,5,0,3,0.1814,5,4,3,3,1,6,16,5,22,20,38.29,60.57,5087,0.14,0,1,0.1343,0,0,,
2025-05-01,2,9,5,0,4,0.1727,1,1,4,4,1,6,14,5,22,20,37.28,56.21,4432,0.26,0,1,0.1371,0,0,,
2025-05-01,2,10,5,0,4,0.1711,1,1,4,4,1,6,16,5,21,20,43.4,59.75,4201,0.16,0,1,0.1376,0,0,,
2025-05-01,2,11,5,0,1,0.1852,1,1,1,1,1,7,14,6,20,20,39.89,52.25,4144,0.25,1,1,0.1329,0,0,,
2025-05-01,2,12,5,0,3,0.1759,1,1,3,3,1,8,14,6,20,20,39.04,52.94,4546,0.16,0,0,0.1384,0,0,,
2025-05-01,5,1,5,0,3,0.2246,1,1,3,3,1,2,7,3,21,20,72.22,88.89,4077,0.13,0,1,0.1356,0,0,,
2025-05-01,5,2,5,0,6,0.1928,1,1,6,6,1,3,7,3,21,21,63.16,68.42,5201,0.26,0,0,0.1546,0,0,,
2025-05-01,5,3,5,0,3,0.1925,3,4,3,3,1,2,9,2,21,21,61.11,66.67,4825,0.1,1,1,0.1306,0,0,,
2025-05-01,5,4,5,0,6,0.2377,1,1,2,6,1,3,9,2,21,21,80,90,3517,0.22,0,0,0.1428,0,0,,
2025-05-01,5,5,5,0,5,0.2348,1,5,5,5,1,3,9,2,21,21,77.78,83.33,4906,0.15,0,0,0.1412,0,0,,
2025-05-01,5,6,5,0,1,0.189,3,3,1,1,1,4,9,2,21,21,44.44,55.56,3569,0.15,0,0,0.1458,0,0,,
2025-05-01,5,7,5,0,1,0.2026,1,1,1,1,1,3,9,2,21,21,63.64,81.82,4440,0.16,1,1,0.1275,0,0,,
2025-05-01,5,8,5,0,4,0.1921,5,4,4,4,1,3,7,2,21,21,44.44,77.78,4676,0.11,0,1,0.135,0,0,,
