fetched_at,race_date,stadium_number,race_number,race_closed_at,bet_type,combination,odds
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,1-2,3.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,2-1,19.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,3-1,33.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,4-1,12.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,5-1,45.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,6-1,363.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,1-3,3.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,2-3,72.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,3-2,72.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,4-2,51.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,5-2,103.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,6-2,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,1-4,3.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,2-4,80.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,3-4,60.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,4-3,38.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,5-3,121.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,6-3,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,1-5,10.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,2-5,121.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,3-5,242.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,4-5,31.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,5-4,48.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,6-4,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,1-6,19.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,2-6,363.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,3-6,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,4-6,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,5-6,181.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連単,6-5,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,1=2,3.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,1=3,2.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,2=3,25.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,1=4,3.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,2=4,31.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,3=4,17.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,1=5,11.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,2=5,125.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,3=5,62.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,4=5,12.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,1=6,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,2=6,41.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,3=6,0.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,4=6,125.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,2連複,5=6,41.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-2-3,7.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-1-3,46.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-1-2,47.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-1-2,42.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-1-2,176.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-1-2,478.9
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-2-4,9.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-1-4,55.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-1-4,33.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-1-3,34.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-1-3,180.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-1-3,557.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-2-5,30.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-1-5,139.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-1-5,111.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-1-5,79.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-1-4,189.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-1-4,1300.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-2-6,152.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-1-6,447.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-1-6,354.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-1-6,379.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-1-6,379.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-1-5,1820.0
