racer_number,racer_name,races,wins,win_rate
3557,太田 和美,448,101,0.2254
5018,竹下 大樹,437,129,0.2952
4324,海野 康志郎,429,145,0.338
5034,若林 義人,424,127,0.2995
3554,仲口 博崇,424,113,0.2665
3946,赤岩 善生,423,122,0.2884
4199,北川 潤二,423,105,0.2482
4512,高野 哲史,423,133,0.3144
4286,平田 さやか,421,66,0.1568
4856,豊田 健士郎,420,118,0.281
3612,馬袋 義則,416,98,0.2356
3489,大場 敏,415,76,0.1831
4000,松本 博昭,411,84,0.2044
5132,中野 希一,407,118,0.2899
3251,平石 和男,407,72,0.1769
4743,木村 仁紀,407,98,0.2408
3940,飯山 泰,407,101,0.2482
5088,高憧 四季,407,133,0.3268
4189,川上 剛,405,95,0.2346
4704,河野 大,405,105,0.2593
4713,白神 優,404,104,0.2574
4604,岩瀬 裕亮,403,112,0.2779
4424,松尾 昂明,403,86,0.2134
4760,山崎 郡,403,136,0.3375
5257,西丸 侑太朗,402,108,0.2687
4471,新田 泰章,401,125,0.3117
4826,井上 一輝,401,134,0.3342
4055,吉田 俊彦,401,93,0.2319
3966,作間 章,400,106,0.265
4084,杉山 正樹,400,103,0.2575
4118,宇佐見 淳,400,91,0.2275
4776,竹田 和哉,400,116,0.29
4278,藤岡 俊介,400,131,0.3275
3711,江本 真治,399,75,0.188
4063,市橋 卓士,399,102,0.2556
3744,徳増 秀樹,398,122,0.3065
4295,小坂 尚哉,398,116,0.2915
4040,廣瀬 将亨,397,93,0.2343
4931,木谷 賢太,397,107,0.2695
4420,津久井 拓也,396,69,0.1742
4067,永井 源,396,99,0.25
4640,山ノ内 雅人,396,77,0.1944
4544,松田 大志郎,396,164,0.4141
5216,長谷川 晴哉,395,96,0.243
4163,山崎 裕司,395,79,0.2
4061,萩原 秀人,395,122,0.3089
5114,小林 孝彰,395,80,0.2025
4264,長尾 章平,393,104,0.2646
4503,上野 真之介,393,130,0.3308
3746,岡瀬 正人,393,68,0.173
4137,君島 秀三,393,109,0.2774
4397,西村 拓也,392,115,0.2934
4433,川野 芽唯,391,126,0.3223
4218,吉川 喜継,391,99,0.2532
4236,松村 敏,390,143,0.3667
5142,常住 蓮,390,128,0.3282
4515,藤田 浩人,390,82,0.2103
4710,福田 宗平,390,84,0.2154
4351,里岡 右貴,389,128,0.329
4058,野末 智一,389,62,0.1594
4288,永田 啓二,389,131,0.3368
3997,北村 征嗣,389,96,0.2468
4983,前田 篤哉,389,126,0.3239
5191,飛田 江己,387,114,0.2946
4122,安東 幸治,387,67,0.1731
3983,須藤 博倫,386,82,0.2124
4960,黒野 元基,386,132,0.342
4786,佐藤 博亮,386,113,0.2927
4398,船岡 洋一郎,386,109,0.2824
4363,大野 芳顕,386,68,0.1762
4588,田中 京介,386,79,0.2047
4064,原田 篤志,386,109,0.2824
4514,上條 嘉嗣,385,114,0.2961
5058,前原 大道,385,123,0.3195
4472,尾嶋 一広,385,91,0.2364
4074,柳沢 一,384,100,0.2604
4102,益田 啓司,384,123,0.3203
4089,妹尾 忠幸,384,78,0.2031
4739,中村 晃朋,384,101,0.263
4120,柘植 政浩,384,70,0.1823
4798,浜先 真範,383,106,0.2768
3473,石川 真二,383,114,0.2977
5136,濱野 斗馬,383,93,0.2428
4159,向後 龍一,383,80,0.2089
4171,榎 幸司,382,88,0.2304
4659,木下 翔太,382,115,0.301
4958,溝口 海義也,382,89,0.233
3333,丸尾 義孝,382,87,0.2277
3988,古川 誠之,381,77,0.2021
4475,末永 祐輝,381,71,0.1864
4269,杉山 裕也,380,106,0.2789
4302,西野 翔太,380,97,0.2553
4834,浜本 裕己,380,79,0.2079
3613,角谷 健吾,380,79,0.2079
5043,中村 日向,380,112,0.2947
3999,大瀧 明日香,380,76,0.2
4366,前沢 丈史,380,94,0.2474
4057,松井 賢治,380,67,0.1763
4376,藤田 靖弘,380,79,0.2079
4337,平本 真之,379,92,0.2427
4824,松井 洪弥,379,106,0.2797
4261,岡 祐臣,379,82,0.2164
3548,室田 泰史,379,69,0.1821
4460,後藤 翔之,379,75,0.1979
4852,川原 祐明,379,130,0.343
4738,清埜 翔子,379,86,0.2269
4649,和田 操拓,379,74,0.1953
4773,中川 りな,378,75,0.1984
4415,下出 卓矢,378,102,0.2698
4377,濱本 優一,378,93,0.246
4166,吉田 拡郎,378,115,0.3042
4319,三宅 潤,378,63,0.1667
5075,中島 秀治,378,80,0.2116
4682,大上 卓人,377,102,0.2706
4215,吉島 祥之,377,79,0.2095
5220,青木 蓮,376,104,0.2766
4581,吉村 誠,376,93,0.2473
3412,鈴木 博,376,89,0.2367
3590,濱野谷 憲吾,375,103,0.2747
3984,坂口 周,375,92,0.2453
4531,武富 智亮,375,84,0.224
3960,菊地 孝平,375,109,0.2907
4391,松田 祐季,375,108,0.288
3304,烏野 賢太,375,83,0.2213
4788,小池 哲也,375,66,0.176
4388,是澤 孝宏,375,75,0.2
4732,堀本 和也,374,91,0.2433
5145,島川 海輝,374,97,0.2594
4172,森定 晃史,374,66,0.1765
4441,末永 由楽,374,86,0.2299
4446,和田 兼輔,374,102,0.2727
4262,馬場 貴也,374,115,0.3075
4036,金田 諭,373,95,0.2547
3562,山下 和彦,373,80,0.2145
4504,前田 将太,373,84,0.2252
3918,深井 利寿,373,86,0.2306
4938,小芦 るり華,372,109,0.293
4757,山田 祐也,372,106,0.2849
4771,下寺 秀和,372,122,0.328
3811,石田 章央,372,88,0.2366
3915,繁野谷 圭介,372,78,0.2097
3556,田中 信一郎,372,116,0.3118
3482,金子 猛志,372,47,0.1263
4413,水摩 敦,372,73,0.1962
3905,天野 友和,372,67,0.1801
4761,山田 晃大,372,80,0.2151
4430,永田 秀二,371,73,0.1968
3952,中澤 和志,371,113,0.3046
4985,井本 昌也,371,106,0.2857
4719,上條 暢嵩,371,113,0.3046
3908,重成 一人,371,104,0.2803
4123,細川 裕子,370,90,0.2432
4411,沢田 昭宏,370,69,0.1865
4583,古田 祐貴,370,54,0.1459
4953,尾上 雅也,370,114,0.3081
4369,丹下 将,370,79,0.2135
5112,砂長 知輝,369,104,0.2818
4075,中野 次郎,369,87,0.2358
4607,鶴田 勇雄,369,56,0.1518
4013,中島 孝平,369,102,0.2764
4769,馬場 剛,369,94,0.2547
4832,権藤 俊光,369,116,0.3144
4679,植田 太一,369,94,0.2547
4076,杉田 篤光,368,55,0.1495
4357,田中 和也,368,113,0.3071
4237,大峯 豊,368,108,0.2935
3679,飯島 昌弘,368,76,0.2065
3641,一瀬 明,368,82,0.2228
3941,池田 浩二,368,119,0.3234
4483,北野 輝季,368,119,0.3234
4452,松尾 祭,368,58,0.1576
4601,森野 正弘,368,99,0.269
3888,山本 英志,368,64,0.1739
4379,桑島 和宏,368,68,0.1848
4033,伊藤 将吉,367,96,0.2616
4537,渡邉 和将,367,108,0.2943
4174,赤坂 俊輔,367,89,0.2425
4049,荒川 健太,367,78,0.2125
5280,廣瀬 凜,367,97,0.2643
4808,松尾 拓,366,86,0.235
4907,小池 修平,366,117,0.3197
4822,百武 翔,366,75,0.2049
4350,篠崎 元志,366,116,0.3169
5028,原田 才一郎,366,116,0.3169
4451,松崎 祐太郎,366,82,0.224
3841,佐々木 和伸,365,75,0.2055
4259,真庭 明志,365,71,0.1945
4384,鶴本 崇文,365,80,0.2192
4375,照屋 厚仁,365,83,0.2274
4109,谷津 幸宏,365,93,0.2548
4467,渡邉 俊介,364,76,0.2088
4796,春園 功太,364,100,0.2747
3833,中辻 博訓,364,96,0.2637
4501,樋口 由加里,364,67,0.1841
4436,渋谷 明憲,364,85,0.2335
4688,永井 彪也,363,99,0.2727
4903,吉田 凌太朗,363,117,0.3223
4624,高田 明,363,100,0.2755
5267,石本 裕武,363,121,0.3333
4308,河村 了,363,96,0.2645
