race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,boat_number,racer_course_number,racer_start_timing,racer_exhibition_time,racer_weight,racer_weight_adjustment,racer_tilt_adjustment
2026-08-16,1,1,1,10,1,2,24,26,1,1,0.09,6.73,53.4,0,-0.5
2026-08-16,1,1,1,10,1,2,24,26,2,2,0.03,6.81,51.5,0.5,-0.5
2026-08-16,1,1,1,10,1,2,24,26,3,3,0.13,6.81,52,0,-0.5
2026-08-16,1,1,1,10,1,2,24,26,4,4,0.25,6.71,54.8,0,0
2026-08-16,1,1,1,10,1,2,24,26,5,5,0.11,6.66,52.4,0,-0.5
2026-08-16,1,1,1,10,1,2,24,26,6,6,0.17,6.74,53.4,0,0
2026-08-16,1,2,4,10,3,1,27,26,1,1,0.08,6.81,52,0,-0.5
2026-08-16,1,2,4,10,3,1,27,26,2,2,0.11,6.82,50.7,0,-0.5
2026-08-16,1,2,4,10,3,1,27,26,3,3,0.05,6.72,57.4,0,-0.5
2026-08-16,1,2,4,10,3,1,27,26,4,6,0.09,6.66,47,0,0
2026-08-16,1,2,4,10,3,1,27,26,5,4,0.09,6.74,50,2,-0.5
2026-08-16,1,2,4,10,3,1,27,26,6,5,0.17,6.68,52.7,0,-0.5
2026-08-16,1,3,5,10,4,1,26,26,1,1,0.14,6.64,53.8,0,0
2026-08-16,1,3,5,10,4,1,26,26,2,2,0.01,6.66,52.8,0,-0.5
2026-08-16,1,3,5,10,4,1,26,26,3,3,-0.01,6.7,52,0,0
2026-08-16,1,3,5,10,4,1,26,26,4,4,0.09,6.72,52.5,0,0
2026-08-16,1,3,5,10,4,1,26,26,5,5,0.14,6.8,52,0,-0.5
2026-08-16,1,3,5,10,4,1,26,26,6,6,0.09,6.81,52.3,0,-0.5
2026-08-16,1,4,4,10,3,1,26,26,1,1,0.04,6.7,52,0,-0.5
2026-08-16,1,4,4,10,3,1,26,26,2,3,0.06,6.65,52.8,0,0
2026-08-16,1,4,4,10,3,1,26,26,3,2,-0.04,6.85,52.5,0,-0.5
