race_date,stadium_number,race_number,race_closed_at,race_grade_number,race_title,boat_number,racer_number,racer_name,racer_class_number,racer_age,racer_weight,racer_flying_count,racer_late_count,racer_average_start_timing,racer_national_top_1_percent,racer_national_top_2_percent,racer_national_top_3_percent,racer_local_top_1_percent,racer_local_top_2_percent,racer_local_top_3_percent,racer_assigned_motor_top_2_percent,racer_assigned_motor_top_3_percent,racer_assigned_boat_top_2_percent,racer_assigned_boat_top_3_percent
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,1,4648,木村 亮太,3,41,52.1,0,0,0.15,4.55,18.48,43.48,2.69,6.25,12.5,40.3,56.72,33.33,53.46
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,2,3156,金子 良昭,3,60,53.1,0,0,0.17,4.23,20.72,36.04,4.38,23.53,38.24,32.92,49.69,30.67,45.33
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,3,4470,平田 健之佑,2,38,52,0,0,0.15,6.71,52.05,69.86,5.82,54.55,54.55,39.57,54.68,30.33,45.08
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,4,4733,赤井 睦,3,36,47,0,0,0.16,5.69,37.78,56.67,5.26,47.37,52.63,33.14,48.26,30.63,48.75
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,5,3968,茶谷 信次,2,49,51.5,0,0,0.15,5.61,36.73,56.12,4.69,20.69,41.38,28.06,43.88,35.81,50
2025-08-24,1,1,2025-08-24 15:19:00,5,第19回マンスリーBOATRACE杯,6,4274,長畑 友輔,3,43,51,0,0,0.15,4.31,23.6,39.33,4.61,26.79,41.07,23.3,43.69,25.33,41.33
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,1,3852,澤 大介,3,52,52.3,0,0,0.17,5.15,31.5,48.82,5.13,26.67,53.33,40.6,56.39,37.11,55.35
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,2,4740,齋藤 達希,3,33,52.7,0,0,0.2,4.17,22.32,35.71,4.49,23.4,44.68,33.33,50.45,36.6,54.9
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,3,4752,西尾 亮輔,3,37,51,0,0,0.18,4.36,21.62,41.44,4.12,23.08,34.62,36.57,55.97,33.33,50
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,4,4286,平田 さやか,2,41,47.7,0,0,0.16,5.37,31.43,53.57,5.75,38.64,63.64,29.11,49.37,34.03,47.22
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,5,4888,金児 隆太,2,37,52.2,1,0,0.17,5.33,31.67,53.33,5.61,34.01,53.06,27.27,48.48,48.13,65.63
2025-08-24,1,2,2025-08-24 15:44:00,5,第19回マンスリーBOATRACE杯,6,3461,渡邊 哲也,3,58,57.3,1,0,0.19,3.28,12.82,21.79,4.08,14.29,36.73,42.36,56.94,31.65,51.27
