race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,race_technique_number,win_boat,win_payout,place_boat_1,place_payout_1,place_boat_2,place_payout_2
2025-05-01,1,1,5,10,4,1,21,19,1,1,240,1,150,4,210
2025-05-01,1,2,5,10,4,1,21,19,1,1,520,1,210,4,130
2025-05-01,1,3,5,10,4,1,21,19,3,4,130,4,210,6,140
2025-05-01,1,4,5,10,4,1,21,19,1,1,740,1,290,2,160
2025-05-01,1,5,5,10,4,1,21,19,1,4,100,4,110,3,230
2025-05-01,1,6,5,10,4,1,20,19,3,4,330,4,120,1,100
2025-05-01,1,7,4,10,3,1,20,19,3,3,150,3,150,6,500
2025-05-01,1,8,4,10,3,1,19,19,4,5,120,5,100,1,100
2025-05-01,1,9,5,10,4,1,19,19,5,1,400,1,210,2,180
2025-05-01,1,10,5,10,4,1,19,19,1,1,100,1,100,6,180
2025-05-01,1,11,5,10,4,1,18,19,1,1,130,1,100,4,160
2025-05-01,1,12,3,10,2,1,18,19,5,1,100,1,120,6,240
2025-05-01,2,1,3,16,3,1,20,19,3,3,300,3,150,4,100
2025-05-01,2,2,3,16,3,1,21,20,3,2,230,2,100,4,110
2025-05-01,2,3,4,14,4,1,21,20,3,3,220,3,100,5,140
2025-05-01,2,4,5,16,4,1,21,20,3,3,640,3,360,5,180
2025-05-01,2,5,4,16,4,1,21,20,3,3,460,3,160,4,110
2025-05-01,2,6,6,16,4,1,21,20,,,,,,,
2025-05-01,2,7,6,16,5,1,22,20,4,3,1370,3,260,1,110
2025-05-01,2,8,6,16,5,1,22,20,4,5,650,5,220,3,250
2025-05-01,2,9,6,14,5,1,22,20,1,1,190,1,210,5,510
2025-05-01,2,10,6,16,5,1,21,20,1,1,310,1,110,2,120
2025-05-01,2,11,7,14,6,1,20,20,1,1,150,1,100,6,250
2025-05-01,2,12,8,14,6,1,20,20,1,1,160,1,110,5,160
2025-05-01,5,1,2,7,3,1,21,20,1,1,240,1,100,2,140
2025-05-01,5,2,3,7,3,1,21,21,1,1,360,1,130,4,250
2025-05-01,5,3,2,9,2,1,21,21,4,3,260,3,110,1,100
2025-05-01,5,4,3,9,2,1,21,21,1,1,300,1,150,3,130
2025-05-01,5,5,3,9,2,1,21,21,5,1,150,1,100,4,150
2025-05-01,5,6,4,9,2,1,21,21,3,3,660,3,580,5,340
2025-05-01,5,7,3,9,2,1,21,21,1,1,270,1,230,6,1110
2025-05-01,5,8,3,7,2,1,21,21,4,5,250,5,110,1,130
2025-05-01,5,9,5,9,2,1,21,21,1,1,110,1,100,5,220
2025-05-01,5,10,3,9,2,1,21,21,2,6,1660,6,560,2,290
2025-05-01,5,11,3,9,2,1,20,21,3,2,320,2,370,4,280
2025-05-01,5,12,2,9,2,1,20,21,1,1,120,1,110,2,190
2025-05-01,7,1,3,9,1,2,20,14,2,3,250,3,150,5,200
2025-05-01,7,2,3,9,1,2,19,14,4,6,1090,6,100,1,230
2025-05-01,7,3,3,9,1,2,19,14,2,4,320,4,170,5,420
2025-05-01,7,4,3,9,1,2,19,14,4,5,260,5,160,1,110
2025-05-01,7,5,3,9,1,2,19,14,2,5,300,5,120,2,140
2025-05-01,7,6,3,9,1,2,19,14,2,2,150,2,120,3,310
2025-05-01,7,7,3,9,1,2,19,14,1,1,140,1,100,3,100
2025-05-01,7,8,3,9,1,2,19,14,1,1,160,1,100,3,100
2025-05-01,7,9,4,9,2,2,19,14,1,1,100,1,100,3,170
2025-05-01,7,10,4,9,2,2,19,14,1,1,120,1,100,4,120
2025-05-01,7,11,4,7,2,2,19,14,1,1,100,1,100,2,120
2025-05-01,7,12,3,9,1,2,18,14,1,1,150,1,100,5,310
2025-05-01,8,1,4,7,2,2,19,18,1,1,110,1,100,4,130
2025-05-01,8,2,4,7,2,2,19,18,5,3,540,3,140,1,150
2025-05-01,8,3,4,7,2,2,19,18,3,4,600,4,750,6,1420
2025-05-01,8,4,4,7,2,2,19,18,2,2,770,2,830,1,360
2025-05-01,8,5,4,7,2,2,19,18,3,2,400,2,260,4,120
2025-05-01,8,6,4,7,2,2,19,19,1,1,110,1,100,2,110
2025-05-01,8,7,4,7,2,2,19,19,4,5,360,5,100,1,100
2025-05-01,8,8,4,7,2,2,20,19,3,3,150,3,100,1,100
2025-05-01,8,9,5,7,2,2,20,19,3,3,670,3,140,4,210
2025-05-01,8,10,5,7,2,2,20,19,1,1,130,1,100,2,230
2025-05-01,8,11,5,7,2,2,20,19,3,3,220,3,160,1,130
2025-05-01,8,12,5,7,2,2,20,19,1,1,100,1,110,3,160
2025-05-01,9,1,2,6,1,2,18,19,1,1,100,1,100,3,370
2025-05-01,9,2,3,6,2,2,18,19,4,3,320,3,160,1,110
2025-05-01,9,3,4,6,2,2,19,19,3,3,160,3,100,2,270
2025-05-01,9,4,4,6,2,2,19,19,2,3,530,3,170,4,100
2025-05-01,9,5,5,6,3,2,19,19,1,1,100,1,100,2,150
2025-05-01,9,6,5,6,3,2,20,19,5,6,570,6,150,1,130
2025-05-01,9,7,6,6,5,2,20,20,2,2,280,2,320,1,340
2025-05-01,9,8,6,6,5,2,20,20,1,1,240,1,220,3,120
2025-05-01,9,9,6,6,5,1,20,20,5,1,150,1,110,5,120
2025-05-01,9,10,7,6,5,1,20,20,1,1,210,1,130,2,110
2025-05-01,9,11,6,6,5,2,20,20,1,1,100,1,100,2,100
