racer_id,racer_name,actual_kimarite,wins_with_this_kimarite,total_wins,pct_of_wins,low_sample
2538,高橋 二朗,1,3,4,0.75,1
2538,高橋 二朗,2,1,4,0.25,1
2878,富山 弘幸,1,21,39,0.5385,0
2878,富山 弘幸,2,6,39,0.1538,0
2878,富山 弘幸,3,4,39,0.1026,0
2878,富山 弘幸,4,7,39,0.1795,0
2878,富山 弘幸,5,1,39,0.0256,0
3024,西島 義則,1,47,79,0.5949,0
3024,西島 義則,2,12,79,0.1519,0
3024,西島 義則,3,15,79,0.1899,0
3024,西島 義則,5,5,79,0.0633,0
3054,北川 幸典,1,16,38,0.4211,0
3054,北川 幸典,2,3,38,0.0789,0
3054,北川 幸典,3,11,38,0.2895,0
3054,北川 幸典,4,2,38,0.0526,0
3054,北川 幸典,5,6,38,0.1579,0
3070,山室 展弘,1,11,26,0.4231,0
3070,山室 展弘,2,9,26,0.3462,0
3070,山室 展弘,3,3,26,0.1154,0
3070,山室 展弘,4,1,26,0.0385,0
3070,山室 展弘,5,2,26,0.0769,0
3072,西田 靖,1,20,29,0.6897,0
3072,西田 靖,2,5,29,0.1724,0
3072,西田 靖,3,3,29,0.1034,0
3072,西田 靖,5,1,29,0.0345,0
3075,中村 裕将,1,15,29,0.5172,0
3075,中村 裕将,2,1,29,0.0345,0
3075,中村 裕将,3,5,29,0.1724,0
3075,中村 裕将,4,4,29,0.1379,0
3075,中村 裕将,5,4,29,0.1379,0
3081,岡本 慎治,1,10,23,0.4348,0
3081,岡本 慎治,2,4,23,0.1739,0
3081,岡本 慎治,3,6,23,0.2609,0
3081,岡本 慎治,4,1,23,0.0435,0
3081,岡本 慎治,5,1,23,0.0435,0
3081,岡本 慎治,6,1,23,0.0435,0
3105,内山 文典,1,19,35,0.5429,0
3105,内山 文典,2,3,35,0.0857,0
3105,内山 文典,3,9,35,0.2571,0
3105,内山 文典,4,1,35,0.0286,0
3105,内山 文典,5,1,35,0.0286,0
3105,内山 文典,6,2,35,0.0571,0
3107,平岡 重典,1,9,13,0.6923,1
3107,平岡 重典,2,2,13,0.1538,1
3107,平岡 重典,3,1,13,0.0769,1
3107,平岡 重典,4,1,13,0.0769,1
3156,金子 良昭,1,8,15,0.5333,1
3156,金子 良昭,2,2,15,0.1333,1
3156,金子 良昭,3,3,15,0.2,1
3156,金子 良昭,4,1,15,0.0667,1
3156,金子 良昭,5,1,15,0.0667,1
3158,島川 光男,1,45,76,0.5921,0
3158,島川 光男,2,3,76,0.0395,0
3158,島川 光男,3,15,76,0.1974,0
3158,島川 光男,4,8,76,0.1053,0
3158,島川 光男,5,5,76,0.0658,0
3159,江口 晃生,1,40,66,0.6061,0
3159,江口 晃生,2,14,66,0.2121,0
3159,江口 晃生,3,11,66,0.1667,0
3159,江口 晃生,6,1,66,0.0152,0
3161,古場 輝義,1,12,24,0.5,0
3161,古場 輝義,2,4,24,0.1667,0
3161,古場 輝義,3,3,24,0.125,0
3161,古場 輝義,4,2,24,0.0833,0
3161,古場 輝義,5,3,24,0.125,0
3175,渡辺 千草,1,2,13,0.1538,1
3175,渡辺 千草,2,4,13,0.3077,1
3175,渡辺 千草,3,4,13,0.3077,1
3175,渡辺 千草,4,3,13,0.2308,1
3176,長谷川 巌,1,8,15,0.5333,1
3176,長谷川 巌,2,3,15,0.2,1
3176,長谷川 巌,3,1,15,0.0667,1
3176,長谷川 巌,4,3,15,0.2,1
3202,三品 隆浩,1,12,24,0.5,0
3202,三品 隆浩,2,2,24,0.0833,0
3202,三品 隆浩,3,3,24,0.125,0
3202,三品 隆浩,4,3,24,0.125,0
3202,三品 隆浩,5,4,24,0.1667,0
3207,田村 美和,1,3,8,0.375,1
3207,田村 美和,3,2,8,0.25,1
3207,田村 美和,4,2,8,0.25,1
3207,田村 美和,5,1,8,0.125,1
3211,北川 敏弘,1,7,11,0.6364,1
3211,北川 敏弘,2,2,11,0.1818,1
3211,北川 敏弘,3,1,11,0.0909,1
3211,北川 敏弘,4,1,11,0.0909,1
3212,亀本 勇樹,1,12,22,0.5455,0
3212,亀本 勇樹,2,1,22,0.0455,0
3212,亀本 勇樹,3,7,22,0.3182,0
3212,亀本 勇樹,4,1,22,0.0455,0
3212,亀本 勇樹,5,1,22,0.0455,0
3224,栗山 繁洋,1,12,18,0.6667,1
3224,栗山 繁洋,2,2,18,0.1111,1
3224,栗山 繁洋,3,1,18,0.0556,1
3224,栗山 繁洋,4,2,18,0.1111,1
3224,栗山 繁洋,5,1,18,0.0556,1
3226,浦田 信義,1,17,23,0.7391,0
3226,浦田 信義,3,4,23,0.1739,0
3226,浦田 信義,4,1,23,0.0435,0
3226,浦田 信義,5,1,23,0.0435,0
3232,山川 美由紀,1,28,45,0.6222,0
3232,山川 美由紀,2,9,45,0.2,0
3232,山川 美由紀,3,4,45,0.0889,0
3232,山川 美由紀,4,2,45,0.0444,0
3232,山川 美由紀,5,2,45,0.0444,0
3233,小畑 実成,1,14,33,0.4242,0
3233,小畑 実成,2,4,33,0.1212,0
3233,小畑 実成,3,9,33,0.2727,0
3233,小畑 実成,4,3,33,0.0909,0
3233,小畑 実成,5,2,33,0.0606,0
3233,小畑 実成,6,1,33,0.0303,0
3246,星野 政彦,1,5,9,0.5556,1
3246,星野 政彦,3,4,9,0.4444,1
3251,平石 和男,1,33,71,0.4648,0
3251,平石 和男,2,14,71,0.1972,0
3251,平石 和男,3,3,71,0.0423,0
3251,平石 和男,4,10,71,0.1408,0
3251,平石 和男,5,10,71,0.1408,0
3251,平石 和男,6,1,71,0.0141,0
3256,三角 哲男,1,35,86,0.407,0
3256,三角 哲男,2,13,86,0.1512,0
3256,三角 哲男,3,19,86,0.2209,0
3256,三角 哲男,4,11,86,0.1279,0
3256,三角 哲男,5,6,86,0.0698,0
3256,三角 哲男,6,2,86,0.0233,0
3257,田頭 実,1,44,93,0.4731,0
3257,田頭 実,2,9,93,0.0968,0
3257,田頭 実,3,30,93,0.3226,0
3257,田頭 実,4,1,93,0.0108,0
3257,田頭 実,5,7,93,0.0753,0
3257,田頭 実,6,2,93,0.0215,0
3265,今村 暢孝,1,31,63,0.4921,0
3265,今村 暢孝,2,12,63,0.1905,0
3265,今村 暢孝,3,8,63,0.127,0
3265,今村 暢孝,4,1,63,0.0159,0
3265,今村 暢孝,5,9,63,0.1429,0
3265,今村 暢孝,6,2,63,0.0317,0
3268,森 竜也,1,20,31,0.6452,0
3268,森 竜也,2,2,31,0.0645,0
3268,森 竜也,3,4,31,0.129,0
3268,森 竜也,5,3,31,0.0968,0
3268,森 竜也,6,2,31,0.0645,0
3273,石田 豪,1,4,5,0.8,1
3273,石田 豪,4,1,5,0.2,1
3277,齋藤 勇,1,13,24,0.5417,0
3277,齋藤 勇,2,3,24,0.125,0
3277,齋藤 勇,3,7,24,0.2917,0
3277,齋藤 勇,4,1,24,0.0417,0
3282,池本 輝明,1,16,17,0.9412,1
3282,池本 輝明,3,1,17,0.0588,1
3284,渡邊 伸太郎,1,25,37,0.6757,0
3284,渡邊 伸太郎,2,5,37,0.1351,0
3284,渡邊 伸太郎,3,4,37,0.1081,0
3284,渡邊 伸太郎,4,2,37,0.0541,0
3284,渡邊 伸太郎,5,1,37,0.027,0
3286,坂東 満,1,12,23,0.5217,0
3286,坂東 満,2,1,23,0.0435,0
3286,坂東 満,3,7,23,0.3043,0
3286,坂東 満,4,2,23,0.087,0
3286,坂東 満,5,1,23,0.0435,0
3289,高橋 淳美,1,2,11,0.1818,1
3289,高橋 淳美,2,2,11,0.1818,1
3289,高橋 淳美,3,6,11,0.5455,1
3289,高橋 淳美,5,1,11,0.0909,1
3293,宮内 由紀英,1,4,5,0.8,1
3293,宮内 由紀英,3,1,5,0.2,1
3294,野中 義生,1,9,21,0.4286,0
3294,野中 義生,2,5,21,0.2381,0
3294,野中 義生,3,3,21,0.1429,0
3294,野中 義生,4,3,21,0.1429,0
3294,野中 義生,6,1,21,0.0476,0
3297,藤丸 光一,1,10,23,0.4348,0
3297,藤丸 光一,2,7,23,0.3043,0
3297,藤丸 光一,3,3,23,0.1304,0
3297,藤丸 光一,4,2,23,0.087,0
3297,藤丸 光一,5,1,23,0.0435,0
3300,川崎 智幸,1,46,72,0.6389,0
3300,川崎 智幸,2,8,72,0.1111,0
3300,川崎 智幸,3,6,72,0.0833,0
3300,川崎 智幸,4,6,72,0.0833,0
3300,川崎 智幸,5,5,72,0.0694,0
3300,川崎 智幸,6,1,72,0.0139,0
3302,谷川 里江,1,11,35,0.3143,0
3302,谷川 里江,2,1,35,0.0286,0
3302,谷川 里江,3,16,35,0.4571,0
3302,谷川 里江,4,3,35,0.0857,0
3302,谷川 里江,5,3,35,0.0857,0
3302,谷川 里江,6,1,35,0.0286,0
3303,渡辺 豊,1,21,30,0.7,0
3303,渡辺 豊,2,2,30,0.0667,0
3303,渡辺 豊,3,3,30,0.1,0
3303,渡辺 豊,4,1,30,0.0333,0
3303,渡辺 豊,5,2,30,0.0667,0
3303,渡辺 豊,6,1,30,0.0333,0
3304,烏野 賢太,1,52,80,0.65,0
3304,烏野 賢太,2,11,80,0.1375,0
3304,烏野 賢太,3,5,80,0.0625,0
3304,烏野 賢太,4,8,80,0.1,0
3304,烏野 賢太,5,3,80,0.0375,0
3304,烏野 賢太,6,1,80,0.0125,0
3305,小野 信樹,1,20,27,0.7407,0
3305,小野 信樹,2,2,27,0.0741,0
3305,小野 信樹,3,2,27,0.0741,0
3305,小野 信樹,4,1,27,0.037,0
