racer_id,motor_2rate_band,races,wins,win_rate,low_sample
0,30-35,11,0,0.0,0
0,35-40,5,0,0.0,1
0,40-45,2,0,0.0,1
0,45+,1,0,0.0,1
0,<30,6,0,0.0,1
2538,30-35,72,1,0.0139,0
2538,35-40,73,1,0.0137,0
2538,40-45,24,1,0.0417,0
2538,45+,9,0,0.0,1
2538,<30,86,1,0.0116,0
2878,30-35,66,8,0.1212,0
2878,35-40,62,12,0.1935,0
2878,40-45,18,2,0.1111,0
2878,45+,34,2,0.0588,0
2878,<30,116,15,0.1293,0
3024,30-35,35,13,0.3714,0
3024,35-40,49,19,0.3878,0
3024,40-45,27,4,0.1481,0
3024,45+,29,15,0.5172,0
3024,<30,99,28,0.2828,0
3054,30-35,75,10,0.1333,0
3054,35-40,88,15,0.1705,0
3054,40-45,17,4,0.2353,0
3054,45+,12,2,0.1667,0
3054,<30,39,7,0.1795,0
3070,30-35,36,7,0.1944,0
3070,35-40,41,5,0.122,0
3070,40-45,31,9,0.2903,0
3070,<30,54,5,0.0926,0
3072,30-35,42,8,0.1905,0
3072,35-40,45,2,0.0444,0
3072,40-45,77,9,0.1169,0
3072,45+,16,1,0.0625,0
3072,<30,102,9,0.0882,0
3075,30-35,78,7,0.0897,0
3075,35-40,29,4,0.1379,0
3075,40-45,27,3,0.1111,0
3075,45+,24,4,0.1667,0
3075,<30,134,11,0.0821,0
3081,30-35,33,4,0.1212,0
3081,35-40,48,9,0.1875,0
3081,40-45,10,1,0.1,0
3081,45+,18,3,0.1667,0
3081,<30,55,6,0.1091,0
3105,30-35,79,10,0.1266,0
3105,35-40,45,3,0.0667,0
3105,40-45,44,7,0.1591,0
3105,45+,20,5,0.25,0
3105,<30,84,10,0.119,0
3107,30-35,74,5,0.0676,0
3107,35-40,38,2,0.0526,0
3107,40-45,27,3,0.1111,0
3107,45+,14,0,0.0,0
3107,<30,59,3,0.0508,0
3156,30-35,80,5,0.0625,0
3156,35-40,25,1,0.04,0
3156,40-45,26,2,0.0769,0
3156,45+,46,4,0.087,0
3156,<30,80,3,0.0375,0
3158,30-35,72,19,0.2639,0
3158,35-40,111,25,0.2252,0
3158,40-45,32,6,0.1875,0
3158,45+,10,2,0.2,0
3158,<30,113,24,0.2124,0
3159,30-35,21,12,0.5714,0
3159,35-40,47,10,0.2128,0
3159,40-45,63,21,0.3333,0
3159,45+,18,7,0.3889,0
3159,<30,76,16,0.2105,0
3161,30-35,30,1,0.0333,0
3161,35-40,114,8,0.0702,0
3161,40-45,52,6,0.1154,0
3161,45+,36,4,0.1111,0
3161,<30,59,5,0.0847,0
3175,30-35,62,1,0.0161,0
3175,35-40,33,1,0.0303,0
3175,40-45,43,6,0.1395,0
3175,45+,40,2,0.05,0
3175,<30,77,3,0.039,0
3176,30-35,48,2,0.0417,0
3176,35-40,32,1,0.0312,0
3176,40-45,36,5,0.1389,0
3176,45+,38,5,0.1316,0
3176,<30,17,2,0.1176,0
3202,30-35,65,9,0.1385,0
