racer_id,wind_band,races,wins,win_rate,low_sample
2538,0-1,61,1,0.0164,0
2538,2-3,129,2,0.0155,0
2538,4-5,63,1,0.0159,0
2538,6+,11,0,0.0,0
2878,0-1,74,10,0.1351,0
2878,2-3,137,19,0.1387,0
2878,4-5,67,8,0.1194,0
2878,6+,18,2,0.1111,0
3024,0-1,63,21,0.3333,0
3024,2-3,115,39,0.3391,0
3024,4-5,43,13,0.3023,0
3024,6+,18,6,0.3333,0
3054,0-1,60,12,0.2,0
3054,2-3,108,16,0.1481,0
3054,4-5,53,7,0.1321,0
3054,6+,10,3,0.3,0
3070,0-1,41,6,0.1463,0
3070,2-3,84,15,0.1786,0
3070,4-5,29,2,0.069,0
3070,6+,8,3,0.375,1
3072,0-1,74,8,0.1081,0
3072,2-3,128,12,0.0938,0
3072,4-5,66,5,0.0758,0
3072,6+,14,4,0.2857,0
3075,0-1,76,13,0.1711,0
3075,2-3,126,8,0.0635,0
3075,4-5,65,2,0.0308,0
3075,6+,25,6,0.24,0
3081,0-1,46,4,0.087,0
3081,2-3,67,14,0.209,0
3081,4-5,41,3,0.0732,0
3081,6+,10,2,0.2,0
3105,0-1,56,9,0.1607,0
3105,2-3,122,18,0.1475,0
3105,4-5,59,5,0.0847,0
3105,6+,35,3,0.0857,0
3107,0-1,51,1,0.0196,0
3107,2-3,110,6,0.0545,0
3107,4-5,45,6,0.1333,0
3107,6+,6,0,0.0,1
3156,0-1,69,3,0.0435,0
3156,2-3,106,6,0.0566,0
3156,4-5,68,6,0.0882,0
3156,6+,14,0,0.0,0
3158,0-1,79,17,0.2152,0
3158,2-3,153,34,0.2222,0
3158,4-5,79,21,0.2658,0
3158,6+,27,4,0.1481,0
3159,0-1,68,22,0.3235,0
3159,2-3,98,28,0.2857,0
3159,4-5,42,11,0.2619,0
3159,6+,17,5,0.2941,0
3161,0-1,84,8,0.0952,0
3161,2-3,118,9,0.0763,0
3161,4-5,70,6,0.0857,0
3161,6+,19,1,0.0526,0
3175,0-1,75,3,0.04,0
3175,2-3,119,8,0.0672,0
3175,4-5,52,1,0.0192,0
3175,6+,9,1,0.1111,1
3176,0-1,34,2,0.0588,0
3176,2-3,79,7,0.0886,0
3176,4-5,49,6,0.1224,0
3176,6+,9,0,0.0,1
3202,0-1,47,5,0.1064,0
3202,2-3,127,8,0.063,0
3202,4-5,72,7,0.0972,0
3202,6+,36,4,0.1111,0
3207,0-1,48,3,0.0625,0
3207,2-3,87,3,0.0345,0
3207,4-5,49,1,0.0204,0
3207,6+,12,1,0.0833,0
3211,0-1,71,1,0.0141,0
3211,2-3,130,6,0.0462,0
3211,4-5,56,4,0.0714,0
3211,6+,17,0,0.0,0
3212,0-1,66,4,0.0606,0
3212,2-3,107,10,0.0935,0
3212,4-5,66,6,0.0909,0
3212,6+,14,2,0.1429,0
3224,0-1,54,4,0.0741,0
3224,2-3,131,7,0.0534,0
3224,4-5,72,1,0.0139,0
3224,6+,21,6,0.2857,0
3226,0-1,71,6,0.0845,0
3226,2-3,117,9,0.0769,0
3226,4-5,71,5,0.0704,0
3226,6+,27,3,0.1111,0
3232,0-1,62,9,0.1452,0
3232,2-3,124,23,0.1855,0
3232,4-5,56,9,0.1607,0
3232,6+,11,4,0.3636,0
3233,0-1,43,5,0.1163,0
3233,2-3,143,17,0.1189,0
3233,4-5,73,8,0.1096,0
3233,6+,24,3,0.125,0
3246,0-1,34,2,0.0588,0
3246,2-3,70,5,0.0714,0
3246,4-5,19,2,0.1053,0
