stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
1,1,0-1,1021,552,0.5406,533,0.522,0
1,1,2-3,1467,730,0.4976,705,0.4806,0
1,1,4-5,575,272,0.473,255,0.4435,0
1,1,6+,262,107,0.4084,99,0.3779,0
1,2,0-1,1021,100,0.0979,0,0.0,0
1,2,2-3,1467,189,0.1288,0,0.0,0
1,2,4-5,575,66,0.1148,0,0.0,0
1,2,6+,262,39,0.1489,0,0.0,0
1,3,0-1,1021,129,0.1263,0,0.0,0
1,3,2-3,1467,197,0.1343,0,0.0,0
1,3,4-5,575,73,0.127,0,0.0,0
1,3,6+,262,39,0.1489,0,0.0,0
1,4,0-1,1021,123,0.1205,0,0.0,0
1,4,2-3,1467,198,0.135,0,0.0,0
1,4,4-5,575,84,0.1461,0,0.0,0
1,4,6+,262,41,0.1565,0,0.0,0
1,5,0-1,1020,92,0.0902,0,0.0,0
1,5,2-3,1467,117,0.0798,0,0.0,0
1,5,4-5,575,62,0.1078,0,0.0,0
1,5,6+,262,29,0.1107,0,0.0,0
1,6,0-1,1007,24,0.0238,0,0.0,0
1,6,2-3,1460,36,0.0247,0,0.0,0
1,6,4-5,572,18,0.0315,0,0.0,0
1,6,6+,259,7,0.027,0,0.0,0
10,1,0-1,754,393,0.5212,378,0.5013,0
10,1,2-3,1344,716,0.5327,687,0.5112,0
10,1,4-5,754,395,0.5239,378,0.5013,0
10,1,6+,376,174,0.4628,158,0.4202,0
10,2,0-1,754,118,0.1565,0,0.0,0
10,2,2-3,1344,184,0.1369,0,0.0,0
10,2,4-5,754,118,0.1565,0,0.0,0
10,2,6+,376,60,0.1596,0,0.0,0
10,3,0-1,754,100,0.1326,0,0.0,0
10,3,2-3,1344,207,0.154,0,0.0,0
10,3,4-5,754,112,0.1485,0,0.0,0
10,3,6+,376,50,0.133,0,0.0,0
10,4,0-1,754,80,0.1061,0,0.0,0
10,4,2-3,1344,139,0.1034,0,0.0,0
10,4,4-5,754,67,0.0889,0,0.0,0
10,4,6+,376,48,0.1277,0,0.0,0
10,5,0-1,754,46,0.061,0,0.0,0
10,5,2-3,1343,80,0.0596,0,0.0,0
10,5,4-5,754,45,0.0597,0,0.0,0
10,5,6+,376,34,0.0904,0,0.0,0
10,6,0-1,746,17,0.0228,0,0.0,0
10,6,2-3,1333,18,0.0135,0,0.0,0
10,6,4-5,748,17,0.0227,0,0.0,0
10,6,6+,372,10,0.0269,0,0.0,0
11,1,0-1,834,456,0.5468,443,0.5312,0
11,1,2-3,1597,841,0.5266,809,0.5066,0
