racer_number,racer_name,races,wins,win_rate
3557,太田 和美,442,99,0.224
4324,海野 康志郎,429,145,0.338
5018,竹下 大樹,427,126,0.2951
3554,仲口 博崇,420,113,0.269
5034,若林 義人,418,126,0.3014
4512,高野 哲史,417,131,0.3141
3946,赤岩 善生,416,119,0.2861
4199,北川 潤二,415,102,0.2458
4856,豊田 健士郎,414,115,0.2778
4286,平田 さやか,410,65,0.1585
3489,大場 敏,407,75,0.1843
3612,馬袋 義則,406,96,0.2365
4713,白神 優,403,104,0.2581
4000,松本 博昭,403,84,0.2084
3251,平石 和男,401,71,0.1771
3940,飯山 泰,401,100,0.2494
5088,高憧 四季,401,132,0.3292
4743,木村 仁紀,400,95,0.2375
4704,河野 大,398,104,0.2613
5132,中野 希一,397,115,0.2897
4604,岩瀬 裕亮,397,111,0.2796
5257,西丸 侑太朗,397,107,0.2695
3744,徳増 秀樹,396,122,0.3081
3966,作間 章,396,106,0.2677
4424,松尾 昂明,395,85,0.2152
4189,川上 剛,395,94,0.238
4776,竹田 和哉,395,116,0.2937
4931,木谷 賢太,395,106,0.2684
4471,新田 泰章,394,123,0.3122
4640,山ノ内 雅人,394,77,0.1954
4084,杉山 正樹,394,103,0.2614
4055,吉田 俊彦,394,93,0.236
4760,山崎 郡,394,131,0.3325
3711,江本 真治,393,74,0.1883
4278,藤岡 俊介,393,127,0.3232
4826,井上 一輝,392,131,0.3342
4118,宇佐見 淳,392,88,0.2245
4063,市橋 卓士,392,99,0.2526
4218,吉川 喜継,391,99,0.2532
5216,長谷川 晴哉,390,95,0.2436
4420,津久井 拓也,390,69,0.1769
4236,松村 敏,390,143,0.3667
4397,西村 拓也,390,115,0.2949
3746,岡瀬 正人,390,68,0.1744
4295,小坂 尚哉,390,113,0.2897
4544,松田 大志郎,390,163,0.4179
4067,永井 源,389,98,0.2519
4040,廣瀬 将亨,389,91,0.2339
4264,長尾 章平,388,103,0.2655
4163,山崎 裕司,387,77,0.199
4137,君島 秀三,387,105,0.2713
4061,萩原 秀人,386,119,0.3083
5114,小林 孝彰,386,77,0.1995
4433,川野 芽唯,385,123,0.3195
5058,前原 大道,385,123,0.3195
4351,里岡 右貴,383,127,0.3316
4288,永田 啓二,383,131,0.342
5142,常住 蓮,383,126,0.329
4503,上野 真之介,383,126,0.329
4710,福田 宗平,383,83,0.2167
4074,柳沢 一,382,100,0.2618
4515,藤田 浩人,382,81,0.212
5191,飛田 江己,381,113,0.2966
